gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
-4,-4,38,-11,-298,3890,-0.09,0.11,1.16,-0.11,-2.98,38.90,-4.95,0.00,86.18,3.37,0.05,-9.43
-13,-7,60,169,-297,3870,-0.16,0.05,1.41,1.69,-2.97,38.70,-4.95,-0.01,86.18,3.57,0.14,-10.72
-6,-2,119,112,-290,3878,-0.18,0.04,2.00,1.12,-2.90,38.78,-4.94,-0.03,86.17,3.43,0.05,-14.26
-6,-5,125,68,-248,3947,-0.20,0.00,2.56,0.68,-2.48,39.47,-4.93,-0.04,86.16,3.43,0.13,-14.23
6,-8,74,114,-261,3874,-0.15,-0.05,2.75,1.14,-2.61,38.74,-4.92,-0.05,86.15,3.16,0.21,-10.62
-6,-3,56,96,-377,3928,-0.17,-0.06,2.82,0.96,-3.77,39.28,-4.93,-0.07,86.14,3.42,0.12,-9.35
-7,-2,9,12,-311,3897,-0.19,-0.07,2.59,0.12,-3.11,38.97,-4.91,-0.07,86.13,3.44,0.11,-6.34
5,-2,-65,-69,-454,3912,-0.14,-0.07,1.94,-0.69,-4.54,39.12,-4.92,-0.06,86.12,3.19,0.10,-1.83
-3,-4,-74,-74,-496,3914,-0.15,-0.09,1.29,-0.74,-4.96,39.14,-4.94,-0.06,86.12,3.36,0.14,-1.73
1,-2,-57,-128,-540,3903,-0.13,-0.09,0.82,-1.28,-5.40,39.03,-4.96,-0.05,86.11,3.29,0.10,-3.25
5,-8,-44,-114,-541,3897,-0.08,-0.13,0.47,-1.14,-5.41,38.97,-4.97,-0.04,86.11,3.20,0.22,-4.40
3,0,-26,-33,-388,3915,-0.06,-0.12,0.26,-0.33,-3.88,39.15,-4.99,-0.03,86.11,3.25,0.05,-5.78
3,1,-27,11,-395,3912,-0.03,-0.10,0.07,0.11,-3.95,39.12,-5.01,-0.03,86.11,3.25,0.03,-5.87
2,-4,-33,20,-381,3900,-0.02,-0.12,-0.14,0.20,-3.81,39.00,-5.02,-0.04,86.11,3.28,0.14,-5.62
0,-3,-29,10,-338,3916,-0.02,-0.12,-0.30,0.10,-3.38,39.16,-5.01,-0.05,86.11,3.31,0.13,-6.02
-3,-4,-22,15,-341,3893,-0.03,-0.13,-0.41,0.15,-3.41,38.93,-5.01,-0.07,86.11,3.38,0.17,-6.58
-4,-5,-20,31,-356,3892,-0.05,-0.15,-0.49,0.31,-3.56,38.92,-5.02,-0.09,86.11,3.41,0.20,-6.78
-3,-5,-12,11,-358,3904,-0.07,-0.17,-0.51,0.11,-3.58,39.04,-5.04,-0.09,86.12,3.40,0.21,-7.34
-3,-5,-6,21,-367,3893,-0.08,-0.18,-0.50,0.21,-3.67,38.93,-5.05,-0.11,86.12,3.42,0.22,-7.73
-1,-3,3,-28,-304,3900,-0.08,-0.18,-0.43,-0.28,-3.04,39.00,-5.04,-0.09,86.12,3.37,0.17,-8.29
1,-4,-1,-33,-299,3901,-0.06,-0.19,-0.39,-0.33,-2.99,39.01,-5.03,-0.08,86.12,3.31,0.19,-7.99
2,-3,-4,-1,-339,3909,-0.04,-0.19,-0.38,-0.01,-3.39,39.09,-5.02,-0.07,86.12,3.28,0.16,-7.77
2,-3,-4,1,-323,3903,-0.03,-0.19,-0.36,0.01,-3.23,39.03,-5.00,-0.07,86.12,3.27,0.16,-7.76
2,-2,4,-6,-323,3905,-0.01,-0.18,-0.30,-0.06,-3.23,39.05,-4.98,-0.06,86.13,3.25,0.13,-8.26
2,-2,4,-7,-321,3903,0.00,-0.17,-0.25,-0.07,-3.21,39.03,-4.97,-0.05,86.13,3.24,0.12,-8.22
2,3,3,-5,-339,3897,0.01,-0.14,-0.21,-0.05,-3.39,38.97,-4.97,-0.03,86.13,3.23,-0.00,-8.12
2,4,4,-4,-324,3899,0.02,-0.10,-0.16,-0.04,-3.24,38.99,-4.95,-0.03,86.13,3.22,-0.04,-8.15
3,3,5,-4,-352,3924,0.04,-0.07,-0.11,-0.04,-3.52,39.24,-4.97,-0.02,86.13,3.21,-0.03,-8.18
4,2,5,5,-341,3904,0.06,-0.05,-0.07,0.05,-3.41,39.04,-4.97,-0.04,86.13,3.19,-0.00,-8.15
4,2,4,3,-338,3900,0.08,-0.04,-0.04,0.03,-3.38,39.00,-4.96,-0.04,86.13,3.17,-0.00,-8.05
3,1,5,16,-347,3893,0.09,-0.03,-0.01,0.16,-3.47,38.93,-4.97,-0.06,86.13,3.19,0.02,-8.10
4,-2,3,11,-360,3889,0.10,-0.04,0.01,0.11,-3.60,38.89,-4.98,-0.06,86.13,3.18,0.09,-7.94
5,0,1,-2,-357,3905,0.12,-0.03,0.02,-0.02,-3.57,39.05,-5.00,-0.06,86.13,3.16,0.05,-7.81
2,-4,-24,29,-323,3865,0.12,-0.05,-0.13,0.29,-3.23,38.65,-4.99,-0.07,86.13,3.22,0.14,-6.23
4,-1,-25,25,-367,3902,0.14,-0.05,-0.27,0.25,-3.67,39.02,-5.00,-0.08,86.13,3.18,0.09,-6.27
0,-4,-14,18,-342,3892,0.12,-0.07,-0.33,0.18,-3.42,38.92,-5.01,-0.10,86.13,3.27,0.17,-7.06
1,-3,-17,-2,-337,3899,0.12,-0.08,-0.40,-0.02,-3.37,38.99,-5.00,-0.09,86.13,3.25,0.14,-6.91
1,-4,-14,28,-373,3906,0.11,-0.10,-0.44,0.28,-3.73,39.06,-5.01,-0.10,86.13,3.26,0.17,-7.15
0,-5,-10,28,-378,3898,0.10,-0.12,-0.46,0.28,-3.78,38.98,-5.03,-0.11,86.14,3.29,0.21,-7.43
0,-8,-3,13,-352,3895,0.09,-0.16,-0.43,0.13,-3.52,38.95,-5.04,-0.12,86.14,3.30,0.28,-7.89
0,-8,-4,11,-348,3883,0.08,-0.19,-0.41,0.11,-3.48,38.83,-5.06,-0.13,86.14,3.32,0.30,-7.81
0,-10,-14,15,-354,3892,0.07,-0.23,-0.46,0.15,-3.54,38.92,-5.07,-0.14,86.14,3.33,0.36,-7.16
1,-11,-15,16,-356,3903,0.07,-0.28,-0.50,0.16,-3.56,39.03,-5.09,-0.15,86.14,3.32,0.40,-7.13
1,-13,-12,32,-337,3901,0.07,-0.33,-0.53,0.32,-3.37,39.01,-5.08,-0.17,86.14,3.31,0.47,-7.35
2,-11,-9,20,-353,3903,0.08,-0.36,-0.53,0.20,-3.53,39.03,-5.09,-0.19,86.15,3.30,0.44,-7.56
-6,-10,-6,-30,-346,3913,0.03,-0.39,-0.51,-0.30,-3.46,39.13,-5.09,-0.17,86.15,3.47,0.42,-7.75
-7,-8,-10,-6,-340,3914,-0.01,-0.40,-0.52,-0.06,-3.40,39.14,-5.08,-0.15,86.15,3.50,0.37,-7.48
-7,-12,-12,-58,-294,3906,-0.06,-0.43,-0.54,-0.58,-2.94,39.06,-5.07,-0.14,86.15,3.50,0.45,-7.36
-10,-16,-13,-84,-242,3909,-0.11,-0.49,-0.57,-0.84,-2.42,39.09,-5.06,-0.13,86.15,3.57,0.54,-7.32
0,-6,-80,62,-314,3882,-0.10,-0.47,-1.00,0.62,-3.14,38.82,-5.05,-0.15,86.16,3.36,0.35,-3.11
2,-11,-86,19,-360,3932,-0.08,-0.49,-1.42,0.19,-3.60,39.32,-5.06,-0.16,86.16,3.32,0.47,-3.04
-2,-12,-35,125,-453,3886,-0.08,-0.52,-1.50,1.25,-4.53,38.86,-5.08,-0.18,86.17,3.41,0.50,-6.55
0,-6,-28,70,-408,3890,-0.07,-0.50,-1.52,0.70,-4.08,38.90,-5.09,-0.19,86.18,3.38,0.39,-7.04
2,-9,-2,30,-367,3893,-0.05,-0.51,-1.38,0.30,-3.67,38.93,-5.10,-0.21,86.18,3.34,0.46,-8.70
2,-7,0,18,-377,3900,-0.04,-0.50,-1.24,0.18,-3.77,39.00,-5.12,-0.21,86.19,3.35,0.42,-8.72
0,-6,-5,21,-340,3893,-0.03,-0.49,-1.15,0.21,-3.40,38.93,-5.11,-0.23,86.19,3.38,0.40,-8.31
0,-7,-4,4,-348,3905,-0.03,-0.48,-1.06,0.04,-3.48,39.05,-5.11,-0.21,86.19,3.38,0.41,-8.31
-2,-7,-3,-9,-355,3913,-0.04,-0.47,-0.97,-0.09,-3.55,39.13,-5.11,-0.19,86.20,3.42,0.40,-8.31
-2,-7,-8,-12,-357,3899,-0.05,-0.47,-0.92,-0.12,-3.57,38.99,-5.12,-0.18,86.20,3.43,0.39,-7.93
-3,-5,-8,1,-333,3914,-0.06,-0.45,-0.88,0.01,-3.33,39.14,-5.10,-0.17,86.20,3.44,0.34,-7.90
-1,-4,-7,10,-333,3906,-0.06,-0.43,-0.83,0.10,-3.33,39.06,-5.08,-0.17,86.21,3.39,0.31,-7.93
-1,-3,0,15,-334,3898,-0.06,-0.41,-0.75,0.15,-3.34,38.98,-5.07,-0.18,86.21,3.38,0.29,-8.34
-1,-3,1,1,-333,3900,-0.06,-0.38,-0.67,0.01,-3.33,39.00,-5.05,-0.17,86.21,3.37,0.28,-8.35
2,-1,-4,32,-347,3894,-0.04,-0.35,-0.63,0.32,-3.47,38.94,-5.06,-0.19,86.22,3.31,0.24,-7.98
2,-4,-3,34,-352,3908,-0.03,-0.34,-0.58,0.34,-3.52,39.08,-5.06,-0.21,86.22,3.31,0.31,-8.01
-3,2,-15,10,-98,3756,-0.04,-0.30,-0.61,0.10,-0.98,37.56,-5.04,-0.21,86.22,3.40,0.18,-7.22
-2,-10,-67,-13,-277,3909,-0.05,-0.33,-0.96,-0.13,-2.77,39.09,-5.03,-0.20,86.22,3.37,0.43,-3.97
-6,-18,-79,63,-502,3928,-0.08,-0.40,-1.35,0.63,-5.02,39.28,-5.04,-0.21,86.23,3.47,0.61,-3.46
-2,-13,-55,39,-541,3878,-0.09,-0.44,-1.55,0.39,-5.41,38.78,-5.06,-0.21,86.24,3.40,0.53,-5.24
-2,-7,-19,2,-361,3908,-0.09,-0.44,-1.51,0.02,-3.61,39.08,-5.08,-0.20,86.24,3.42,0.40,-7.65
3,-6,-27,9,-360,3904,-0.06,-0.43,-1.52,0.09,-3.60,39.04,-5.09,-0.20,86.25,3.32,0.37,-7.12
2,-2,-35,-8,-391,3907,-0.04,-0.40,-1.58,-0.08,-3.91,39.07,-5.11,-0.19,86.25,3.34,0.28,-6.63
1,-3,-30,1,-395,3923,-0.03,-0.38,-1.61,0.01,-3.95,39.23,-5.13,-0.19,86.26,3.37,0.29,-6.99
1,-2,-14,11,-378,3898,-0.02,-0.35,-1.53,0.11,-3.78,38.98,-5.15,-0.19,86.27,3.38,0.26,-8.01
1,-1,-12,18,-361,3889,-0.02,-0.33,-1.45,0.18,-3.61,38.89,-5.16,-0.20,86.27,3.39,0.24,-8.09
0,0,-9,11,-339,3918,-0.01,-0.29,-1.36,0.11,-3.39,39.18,-5.14,-0.20,86.28,3.40,0.21,-8.22
1,1,-9,8,-341,3903,-0.01,-0.26,-1.28,0.08,-3.41,39.03,-5.13,-0.19,86.28,3.37,0.18,-8.16
0,1,-13,20,-329,3895,-0.01,-0.23,-1.23,0.20,-3.29,38.95,-5.11,-0.20,86.29,3.37,0.17,-7.85
-1,2,-13,48,-300,3886,-0.01,-0.19,-1.19,0.48,-3.00,38.86,-5.10,-0.21,86.29,3.39,0.15,-7.81
2,1,-36,36,-213,3904,0.00,-0.17,-1.29,0.36,-2.13,39.04,-5.08,-0.22,86.30,3.31,0.17,-6.33
-5,-6,-53,26,-175,3876,-0.03,-0.19,-1.48,0.26,-1.75,38.76,-5.06,-0.22,86.30,3.45,0.32,-5.33
-8,-10,-120,41,-326,3914,-0.07,-0.23,-2.07,0.41,-3.26,39.14,-5.05,-0.23,86.31,3.52,0.42,-1.25
-4,-11,-129,15,-397,3937,-0.09,-0.27,-2.65,0.15,-3.97,39.37,-5.07,-0.24,86.32,3.45,0.45,-1.09
-14,-18,-84,8,-385,3873,-0.17,-0.35,-2.90,0.08,-3.85,38.73,-5.09,-0.23,86.33,3.69,0.62,-4.34
-5,-12,-80,43,-390,3955,-0.18,-0.39,-3.09,0.43,-3.90,39.55,-5.10,-0.25,86.34,3.52,0.51,-4.77
4,4,-43,1,-502,3923,-0.14,-0.33,-3.05,0.01,-5.02,39.23,-5.12,-0.25,86.36,3.34,0.17,-7.24
1,3,-16,1,-460,3880,-0.12,-0.28,-2.84,0.01,-4.60,38.80,-5.14,-0.25,86.37,3.40,0.18,-8.91
2,4,-2,2,-355,3893,-0.09,-0.23,-2.57,0.02,-3.55,38.93,-5.15,-0.23,86.38,3.38,0.13,-9.64
2,4,-1,5,-356,3903,-0.07,-0.18,-2.32,0.05,-3.56,39.03,-5.15,-0.22,86.39,3.38,0.11,-9.52
0,4,6,51,-333,3954,-0.07,-0.14,-2.05,0.51,-3.33,39.54,-5.14,-0.23,86.39,3.41,0.11,-9.78
-3,-2,6,36,-298,3890,-0.08,-0.13,-1.81,0.36,-2.98,38.90,-5.13,-0.24,86.40,3.47,0.24,-9.59
0,4,-3,-14,-392,3901,-0.07,-0.10,-1.64,-0.14,-3.92,39.01,-5.14,-0.23,86.41,3.41,0.10,-8.86
-1,3,-1,-62,-389,3910,-0.07,-0.07,-1.49,-0.62,-3.89,39.10,-5.15,-0.22,86.41,3.44,0.10,-8.87
0,-4,-1,76,-377,3875,-0.06,-0.09,-1.34,0.76,-3.77,38.75,-5.16,-0.23,86.42,3.42,0.26,-8.76
0,-5,3,48,-375,3894,-0.06,-0.11,-1.19,0.48,-3.75,38.94,-5.17,-0.25,86.42,3.43,0.30,-8.91
0,-3,-1,39,-368,3885,-0.05,-0.12,-1.08,0.39,-3.68,38.85,-5.18,-0.26,86.43,3.43,0.27,-8.55
-1,-3,-5,33,-353,3882,-0.05,-0.12,-1.00,0.33,-3.53,38.82,-5.18,-0.28,86.43,3.45,0.28,-8.22
-3,-5,-9,10,-350,3895,-0.06,-0.14,-0.96,0.10,-3.50,38.95,-5.17,-0.27,86.44,3.49,0.32,-7.92
-4,-4,-10,16,-360,3892,-0.08,-0.15,-0.92,0.16,-3.60,38.92,-5.19,-0.26,86.44,3.53,0.30,-7.82
-5,-6,-2,22,-351,3895,-0.10,-0.17,-0.84,0.22,-3.51,38.95,-5.18,-0.28,86.44,3.55,0.35,-8.30
-7,-7,-2,34,-357,3885,-0.14,-0.20,-0.77,0.34,-3.57,38.85,-5.19,-0.30,86.45,3.60,0.39,-8.25
-8,-5,5,27,-357,3899,-0.17,-0.21,-0.66,0.27,-3.57,38.99,-5.20,-0.31,86.45,3.64,0.37,-8.64
-9,-4,5,34,-351,3878,-0.21,-0.21,-0.57,0.34,-3.51,38.78,-5.19,-0.33,86.45,3.67,0.36,-8.56
-9,-8,15,28,-348,3879,-0.24,-0.24,-0.42,0.28,-3.48,38.79,-5.18,-0.35,86.45,3.67,0.46,-9.12
-9,-7,16,11,-319,3899,-0.27,-0.26,-0.28,0.11,-3.19,38.99,-5.17,-0.34,86.45,3.67,0.44,-9.08
-3,-12,26,61,-486,3860,-0.27,-0.31,-0.09,0.61,-4.86,38.60,-5.19,-0.35,86.45,3.56,0.56,-9.61
-7,-15,22,-84,-299,3901,-0.28,-0.37,0.05,-0.84,-2.99,39.01,-5.18,-0.34,86.45,3.64,0.63,-9.23
18,6,-6,97,-555,4016,-0.14,-0.29,0.01,0.97,-5.55,40.16,-5.20,-0.34,86.45,3.10,0.18,-7.37
11,-7,3,94,-666,3930,-0.06,-0.31,0.03,0.94,-6.66,39.30,-5.21,-0.35,86.45,3.23,0.46,-7.96
17,23,106,-65,-573,3856,0.05,-0.14,0.67,-0.65,-5.73,38.56,-5.23,-0.34,86.45,3.09,-0.21,-14.44
12,12,117,-40,-487,3909,0.12,-0.05,1.32,-0.40,-4.87,39.09,-5.25,-0.33,86.44,3.19,-0.01,-14.68
1,-2,35,39,16,3987,0.11,-0.06,1.40,0.39,0.16,39.87,-5.23,-0.33,86.44,3.40,0.28,-9.06
10,2,-2,70,-165,3910,0.16,-0.04,1.25,0.70,-1.65,39.10,-5.21,-0.34,86.43,3.19,0.19,-6.67
38,18,-26,151,-656,4061,0.38,0.08,0.96,1.51,-6.56,40.61,-5.23,-0.34,86.43,2.57,-0.16,-5.26
17,4,-14,71,-659,3802,0.44,0.09,0.78,0.71,-6.59,38.02,-5.24,-0.35,86.43,2.99,0.12,-6.22
5,16,115,11,-459,3660,0.43,0.18,1.41,0.11,-4.59,36.60,-5.26,-0.34,86.42,3.25,-0.15,-14.47
-1,2,145,-28,-252,4156,0.38,0.17,2.15,-0.28,-2.52,41.56,-5.24,-0.34,86.41,3.38,0.13,-15.93
6,5,150,-15,-226,4090,0.38,0.19,2.85,-0.15,-2.26,40.90,-5.22,-0.33,86.40,3.22,0.06,-15.72
-1,-10,141,-23,-249,3864,0.33,0.11,3.42,-0.23,-2.49,38.64,-5.20,-0.32,86.39,3.36,0.39,-14.66
2,-6,91,-11,-205,3843,0.31,0.06,3.64,-0.11,-2.05,38.43,-5.18,-0.31,86.37,3.30,0.31,-11.10
3,-2,82,-18,-240,3909,0.30,0.04,3.77,-0.18,-2.40,39.09,-5.17,-0.31,86.36,3.27,0.23,-10.38
-1,2,71,44,-274,3921,0.26,0.05,3.83,0.44,-2.74,39.21,-5.15,-0.31,86.34,3.35,0.15,-9.59
-1,-1,64,44,-267,3906,0.23,0.04,3.84,0.44,-2.67,39.06,-5.13,-0.31,86.33,3.34,0.22,-9.11
-1,-2,39,26,-301,3893,0.20,0.02,3.69,0.26,-3.01,38.93,-5.11,-0.31,86.31,3.34,0.24,-7.53
0,1,35,28,-319,3896,0.18,0.03,3.54,0.28,-3.19,38.96,-5.09,-0.32,86.30,3.31,0.18,-7.38
-2,0,32,9,-365,3909,0.15,0.02,3.38,0.09,-3.65,39.09,-5.11,-0.30,86.29,3.37,0.19,-7.30
-1,0,36,-6,-377,3895,0.13,0.02,3.26,-0.06,-3.77,38.95,-5.12,-0.29,86.27,3.36,0.19,-7.66
2,-3,38,-5,-376,3891,0.13,0.00,3.16,-0.05,-3.76,38.91,-5.13,-0.28,86.26,3.31,0.24,-7.87
3,-1,45,-19,-413,3904,0.13,-0.01,3.12,-0.19,-4.13,39.04,-5.15,-0.27,86.25,3.30,0.20,-8.37
-2,0,49,-59,-319,3910,0.11,-0.00,3.11,-0.59,-3.19,39.10,-5.14,-0.25,86.24,3.40,0.17,-8.65
-4,-4,38,-48,-316,3952,0.07,-0.03,3.03,-0.48,-3.16,39.52,-5.13,-0.23,86.22,3.45,0.24,-7.97
-6,1,12,-72,-413,3869,0.03,-0.02,2.80,-0.72,-4.13,38.69,-5.14,-0.22,86.21,3.51,0.13,-6.38
4,3,7,-98,-444,3860,0.05,0.00,2.56,-0.98,-4.44,38.60,-5.15,-0.20,86.20,3.30,0.07,-6.23
-3,6,57,1,-404,3883,0.03,0.04,2.65,0.01,-4.04,38.83,-5.17,-0.20,86.19,3.47,-0.00,-9.55
-9,10,83,-14,-398,3951,-0.03,0.09,2.90,-0.14,-3.98,39.51,-5.18,-0.18,86.18,3.61,-0.11,-11.12
5,11,153,-68,-506,3925,0.00,0.15,3.54,-0.68,-5.06,39.25,-5.20,-0.17,86.17,3.33,-0.15,-15.36
-5,-2,160,-58,-474,3808,-0.03,0.12,4.16,-0.58,-4.74,38.08,-5.22,-0.16,86.15,3.55,0.11,-15.35
-4,2,163,-31,-367,3902,-0.05,0.12,4.74,-0.31,-3.67,39.02,-5.22,-0.14,86.13,3.54,0.02,-15.10
-10,6,173,-37,-343,3991,-0.10,0.15,5.32,-0.37,-3.43,39.91,-5.21,-0.12,86.11,3.67,-0.08,-15.32
-1,17,140,-38,-351,4047,-0.10,0.24,5.64,-0.38,-3.51,40.47,-5.21,-0.10,86.09,3.49,-0.34,-12.83
-6,-3,126,-102,-422,3819,-0.13,0.20,5.85,-1.02,-4.22,38.19,-5.22,-0.09,86.06,3.60,0.06,-11.72
-6,-20,142,-97,-579,3784,-0.15,0.05,6.13,-0.97,-5.79,37.84,-5.24,-0.08,86.04,3.62,0.44,-12.58
2,12,166,-73,-629,3801,-0.12,0.12,6.53,-0.73,-6.29,38.01,-5.25,-0.07,86.01,3.46,-0.23,-13.89
-7,-3,310,-54,-614,3794,-0.15,0.09,7.77,-0.54,-6.14,37.94,-5.27,-0.06,85.98,3.66,0.08,-20.00
12,27,352,-64,-526,3969,-0.07,0.25,9.14,-0.64,-5.26,39.69,-5.29,-0.05,85.95,3.27,-0.58,-20.00
-6,25,439,-32,-319,4039,-0.10,0.37,10.90,-0.32,-3.19,40.39,-5.28,-0.03,85.90,3.63,-0.59,-20.00
18,7,446,-34,-174,3710,0.02,0.38,12.53,-0.34,-1.74,37.10,-5.26,-0.02,85.85,3.10,-0.23,-20.00
10,5,389,45,-320,3743,0.08,0.37,13.65,0.45,-3.20,37.43,-5.25,-0.03,85.80,3.24,-0.18,-20.00
-2,39,382,11,-325,3718,0.06,0.57,14.62,0.11,-3.25,37.18,-5.23,-0.03,85.74,3.48,-0.93,-20.00
8,21,408,176,-195,3888,0.10,0.64,15.64,1.76,-1.95,38.88,-5.22,-0.04,85.68,3.25,-0.58,-20.00
-3,-1,412,172,-168,4212,0.08,0.57,16.59,1.72,-1.68,42.12,-5.20,-0.04,85.61,3.48,-0.11,-20.00
-24,-13,370,161,-146,4130,-0.08,0.44,17.19,1.61,-1.46,41.30,-5.19,-0.04,85.54,3.93,0.17,-19.35
0,-18,343,138,-84,3646,-0.07,0.28,17.56,1.38,-0.84,36.46,-5.17,-0.05,85.47,3.43,0.32,-17.22
