gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
-8,0,-85,-10,-303,3879,-0.07,0.05,-4.49,-0.10,-3.03,38.79,-4.52,0.19,92.69,3.11,-0.14,-5.89
1,-2,-60,8,-261,3908,-0.06,0.03,-4.40,0.08,-2.61,39.08,-4.51,0.18,92.71,2.99,-0.11,-7.92
-2,-2,-32,29,-275,3906,-0.07,0.02,-4.16,0.29,-2.75,39.06,-4.50,0.17,92.73,3.02,-0.09,-10.04
-2,-2,-16,34,-285,3927,-0.07,0.00,-3.84,0.34,-2.85,39.27,-4.49,0.15,92.74,3.02,-0.07,-11.06
0,0,-5,2,-300,3909,-0.06,0.00,-3.49,0.02,-3.00,39.09,-4.48,0.13,92.75,2.98,-0.09,-11.62
-1,0,-3,4,-303,3900,-0.06,0.00,-3.16,0.04,-3.03,39.00,-4.48,0.11,92.77,2.99,-0.07,-11.44
-1,0,0,-17,-296,3904,-0.06,0.00,-2.84,-0.17,-2.96,39.04,-4.46,0.12,92.78,2.98,-0.08,-11.36
0,0,0,-24,-295,3904,-0.06,0.00,-2.56,-0.24,-2.95,39.04,-4.45,0.14,92.79,2.96,-0.09,-11.06
4,5,-2,-15,-297,3908,-0.03,0.03,-2.31,-0.15,-2.97,39.08,-4.44,0.15,92.80,2.89,-0.17,-10.63
3,7,-4,27,-278,3954,-0.01,0.07,-2.11,0.27,-2.78,39.54,-4.43,0.13,92.81,2.89,-0.20,-10.24
-7,6,-37,65,-157,3928,-0.05,0.10,-2.12,0.65,-1.57,39.28,-4.41,0.13,92.81,3.01,-0.20,-7.47
3,5,-55,96,-85,3889,-0.03,0.12,-2.25,0.96,-0.85,38.89,-4.40,0.12,92.82,2.88,-0.19,-6.07
3,-4,-98,153,-110,3911,-0.00,0.08,-2.62,1.53,-1.10,39.11,-4.38,0.10,92.83,2.86,-0.06,-2.82
9,-2,-120,121,-165,3857,0.05,0.06,-3.09,1.21,-1.65,38.57,-4.37,0.09,92.85,2.76,-0.06,-1.46
8,-5,-128,37,-319,3933,0.09,0.03,-3.56,0.37,-3.19,39.33,-4.38,0.07,92.86,2.75,-0.00,-1.28
-2,-7,-128,9,-316,3842,0.07,-0.02,-3.99,0.09,-3.16,38.42,-4.39,0.06,92.88,2.89,0.05,-1.73
4,-7,-104,-152,-480,3908,0.09,-0.06,-4.22,-1.52,-4.80,39.08,-4.40,0.07,92.89,2.82,0.06,-4.02
-12,-2,-107,-196,-453,3853,0.01,-0.07,-4.45,-1.96,-4.53,38.53,-4.42,0.09,92.91,3.05,-0.01,-4.01
14,2,-67,-51,-385,3814,0.09,-0.05,-4.42,-0.51,-3.85,38.14,-4.43,0.09,92.93,2.72,-0.07,-7.36
-4,11,-52,-50,-366,3899,0.06,0.02,-4.29,-0.50,-3.66,38.99,-4.45,0.10,92.95,2.96,-0.21,-8.50
6,2,-49,11,-271,3911,0.09,0.03,-4.16,0.11,-2.71,39.11,-4.43,0.09,92.96,2.82,-0.10,-8.62
4,0,-52,-41,-333,3880,0.11,0.03,-4.06,-0.41,-3.33,38.80,-4.44,0.10,92.98,2.84,-0.08,-8.26
-5,-2,-76,-45,-293,3893,0.06,0.02,-4.12,-0.45,-2.93,38.93,-4.44,0.12,92.99,2.96,-0.06,-6.29
-3,-1,-77,-36,-300,3874,0.04,0.01,-4.18,-0.36,-3.00,38.74,-4.44,0.14,93.01,2.95,-0.08,-6.27
-2,9,-51,-60,-373,3886,0.02,0.06,-4.07,-0.60,-3.73,38.86,-4.45,0.15,93.03,2.95,-0.23,-8.36
0,6,-43,-63,-356,3903,0.02,0.09,-3.93,-0.63,-3.56,39.03,-4.46,0.16,93.04,2.94,-0.21,-8.89
1,0,-48,-69,-359,3879,0.02,0.08,-3.83,-0.69,-3.59,38.79,-4.48,0.17,93.06,2.93,-0.15,-8.36
-2,0,-41,-59,-370,3891,0.01,0.08,-3.69,-0.59,-3.70,38.91,-4.49,0.18,93.07,2.98,-0.15,-8.81
-3,0,-22,-63,-364,3911,-0.01,0.07,-3.46,-0.63,-3.64,39.11,-4.51,0.19,93.09,3.01,-0.15,-10.18
-2,-2,-20,-62,-359,3916,-0.02,0.05,-3.23,-0.62,-3.59,39.16,-4.52,0.20,93.10,3.01,-0.13,-10.11
0,-3,-14,-21,-324,3906,-0.02,0.03,-3.00,-0.21,-3.24,39.06,-4.54,0.21,93.11,3.00,-0.11,-10.37
-1,-3,-12,-17,-325,3903,-0.02,0.00,-2.77,-0.17,-3.25,39.03,-4.55,0.21,93.12,3.03,-0.11,-10.30
-1,-2,-8,-17,-312,3908,-0.03,-0.01,-2.54,-0.17,-3.12,39.08,-4.56,0.23,93.13,3.03,-0.12,-10.40
-1,-1,-5,-18,-306,3908,-0.03,-0.01,-2.32,-0.18,-3.06,39.08,-4.54,0.24,93.14,3.02,-0.14,-10.41
-3,-1,0,-23,-305,3895,-0.05,-0.02,-2.09,-0.23,-3.05,38.95,-4.53,0.25,93.15,3.05,-0.15,-10.59
-2,0,0,-17,-297,3902,-0.05,-0.02,-1.88,-0.17,-2.97,39.02,-4.51,0.25,93.16,3.03,-0.16,-10.37
-1,1,1,-24,-304,3909,-0.05,-0.01,-1.68,-0.24,-3.04,39.09,-4.50,0.26,93.17,3.01,-0.18,-10.25
-1,1,1,-21,-307,3916,-0.05,-0.00,-1.51,-0.21,-3.07,39.16,-4.50,0.28,93.17,3.00,-0.20,-10.07
-2,2,2,-20,-302,3900,-0.06,0.01,-1.35,-0.20,-3.02,39.00,-4.48,0.28,93.18,3.00,-0.22,-9.98
-2,1,2,-13,-302,3899,-0.07,0.02,-1.20,-0.13,-3.02,38.99,-4.47,0.27,93.18,3.00,-0.19,-9.83
-1,1,2,-3,-315,3899,-0.07,0.02,-1.07,-0.03,-3.15,38.99,-4.48,0.25,93.19,3.00,-0.19,-9.69
-1,0,3,-28,-312,3909,-0.07,0.02,-0.94,-0.28,-3.12,39.09,-4.49,0.27,93.19,3.00,-0.18,-9.64
-1,0,0,-30,-310,3904,-0.07,0.02,-0.85,-0.30,-3.10,39.04,-4.50,0.28,93.19,3.01,-0.19,-9.29
-1,1,-1,-27,-313,3914,-0.07,0.02,-0.77,-0.27,-3.13,39.14,-4.51,0.30,93.20,3.01,-0.22,-9.12
-2,1,0,-23,-303,3895,-0.07,0.02,-0.69,-0.23,-3.03,38.95,-4.49,0.31,93.20,3.02,-0.23,-9.12
0,2,-1,-14,-296,3901,-0.06,0.03,-0.63,-0.14,-2.96,39.01,-4.48,0.30,93.20,2.98,-0.24,-8.97
3,2,0,-4,-292,3908,-0.04,0.04,-0.57,-0.04,-2.92,39.08,-4.46,0.28,93.20,2.93,-0.23,-8.99
6,2,-2,-9,-277,3899,0.00,0.05,-0.52,-0.09,-2.77,38.99,-4.45,0.28,93.21,2.86,-0.23,-8.77
8,1,-8,-26,-306,3908,0.05,0.05,-0.52,-0.26,-3.06,39.08,-4.45,0.30,93.21,2.82,-0.23,-8.26
6,-1,-10,-47,-287,3896,0.08,0.04,-0.53,-0.47,-2.87,38.96,-4.44,0.31,93.21,2.83,-0.21,-8.10
3,3,-32,-92,-241,3899,0.09,0.06,-0.67,-0.92,-2.41,38.99,-4.43,0.33,93.21,2.85,-0.27,-6.39
3,-1,-52,-123,-215,3891,0.10,0.04,-0.92,-1.23,-2.15,38.91,-4.42,0.34,93.22,2.84,-0.23,-4.96
11,8,-98,12,-296,3843,0.16,0.09,-1.43,0.12,-2.96,38.43,-4.42,0.32,93.22,2.72,-0.34,-1.60
11,8,-101,-26,-283,3905,0.21,0.13,-1.90,-0.26,-2.83,39.05,-4.40,0.32,93.23,2.69,-0.36,-1.85
6,14,-129,-10,-297,3933,0.22,0.20,-2.50,-0.10,-2.97,39.33,-4.39,0.31,93.24,2.73,-0.45,-0.11
8,11,-133,-17,-316,3907,0.25,0.25,-3.06,-0.17,-3.16,39.07,-4.41,0.30,93.25,2.71,-0.43,-0.36
2,2,-128,11,-345,3884,0.24,0.24,-3.53,0.11,-3.45,38.84,-4.42,0.29,93.27,2.80,-0.31,-1.29
0,-2,-126,8,-314,3929,0.21,0.20,-3.95,0.08,-3.14,39.29,-4.43,0.28,93.28,2.83,-0.24,-1.90
3,0,-107,-3,-344,3901,0.21,0.18,-4.21,-0.03,-3.44,39.01,-4.44,0.27,93.30,2.81,-0.25,-3.79
