gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
-5,-3,4,-89,-363,3916,0.05,-0.12,1.47,-0.89,-3.63,39.16,-5.60,1.48,0.16,4.55,-0.76,1.20
-8,-4,4,-120,-388,3892,-0.00,-0.14,1.34,-1.20,-3.88,38.92,-5.60,1.50,0.15,4.91,-0.64,1.07
-3,-3,5,-119,-392,3897,-0.02,-0.14,1.24,-1.19,-3.92,38.97,-5.61,1.52,0.15,4.12,-0.81,0.88
-5,-4,4,-105,-375,3930,-0.05,-0.15,1.14,-1.05,-3.75,39.30,-5.59,1.52,0.14,4.36,-0.68,0.86
-2,-2,3,-120,-393,3905,-0.06,-0.15,1.04,-1.20,-3.93,39.05,-5.60,1.53,0.14,3.89,-0.99,0.84
-3,-2,4,-110,-389,3930,-0.07,-0.15,0.96,-1.10,-3.89,39.30,-5.61,1.55,0.14,4.03,-0.99,0.67
0,-2,2,-102,-391,3910,-0.06,-0.14,0.88,-1.02,-3.91,39.10,-5.63,1.54,0.13,3.60,-0.98,0.75
0,-2,3,-101,-388,3904,-0.06,-0.14,0.81,-1.01,-3.88,39.04,-5.64,1.52,0.13,3.62,-0.97,0.59
0,-3,3,-87,-382,3917,-0.05,-0.15,0.75,-0.87,-3.82,39.17,-5.64,1.50,0.13,3.62,-0.81,0.53
1,-3,3,-96,-380,3914,-0.04,-0.15,0.69,-0.96,-3.80,39.14,-5.62,1.49,0.12,3.48,-0.81,0.47
1,-4,5,-116,-319,3883,-0.03,-0.16,0.65,-1.16,-3.19,38.83,-5.61,1.49,0.12,3.49,-0.68,0.26
8,-5,23,-100,-298,3939,0.02,-0.17,0.73,-1.00,-2.98,39.39,-5.59,1.49,0.12,2.51,-0.55,-1.19
-1,-4,9,-109,-405,3914,0.01,-0.18,0.71,-1.09,-4.05,39.14,-5.61,1.50,0.11,3.88,-0.72,-0.02
-4,-4,14,-99,-379,3919,-0.01,-0.19,0.72,-0.99,-3.79,39.19,-5.59,1.49,0.11,4.28,-0.72,-0.43
-2,-2,5,-114,-380,3931,-0.02,-0.18,0.68,-1.14,-3.80,39.31,-5.58,1.50,0.11,3.95,-1.03,0.29
-3,-2,1,-108,-390,3916,-0.04,-0.17,0.62,-1.08,-3.90,39.16,-5.60,1.51,0.11,4.08,-1.02,0.56
-2,2,2,-112,-384,3897,-0.05,-0.14,0.57,-1.12,-3.84,38.97,-5.60,1.53,0.10,3.91,-1.59,0.43
-2,3,3,-107,-385,3902,-0.05,-0.11,0.53,-1.07,-3.85,39.02,-5.62,1.54,0.10,3.91,-1.69,0.30
-2,2,1,-96,-376,3908,-0.06,-0.09,0.48,-0.96,-3.76,39.08,-5.60,1.53,0.10,3.89,-1.48,0.42
-1,0,0,-105,-381,3900,-0.06,-0.08,0.44,-1.05,-3.81,39.00,-5.59,1.53,0.10,3.72,-1.16,0.45
0,-1,0,-102,-373,3908,-0.06,-0.08,0.39,-1.02,-3.73,39.08,-5.57,1.53,0.10,3.57,-1.00,0.41
1,-1,-1,-94,-372,3914,-0.04,-0.08,0.35,-0.94,-3.72,39.14,-5.56,1.51,0.09,3.43,-0.99,0.44
0,-1,1,-91,-380,3918,-0.04,-0.07,0.32,-0.91,-3.80,39.18,-5.56,1.49,0.09,3.59,-0.98,0.24
0,-2,1,-96,-380,3913,-0.04,-0.08,0.29,-0.96,-3.80,39.13,-5.55,1.48,0.09,3.60,-0.82,0.22
0,-3,-1,-109,-389,3911,-0.03,-0.09,0.26,-1.09,-3.89,39.11,-5.57,1.49,0.09,3.61,-0.69,0.35
1,-3,0,-111,-402,3908,-0.02,-0.10,0.23,-1.11,-4.02,39.08,-5.58,1.50,0.09,3.49,-0.72,0.24
0,-3,0,-104,-390,3904,-0.02,-0.11,0.21,-1.04,-3.90,39.04,-5.60,1.50,0.09,3.66,-0.73,0.21
0,-2,0,-107,-383,3908,-0.02,-0.11,0.19,-1.07,-3.83,39.08,-5.60,1.52,0.09,3.66,-0.90,0.19
0,-1,1,-105,-382,3915,-0.02,-0.10,0.17,-1.05,-3.82,39.15,-5.58,1.52,0.09,3.65,-1.05,0.09
0,-1,1,-107,-384,3905,-0.01,-0.10,0.16,-1.07,-3.84,39.05,-5.60,1.54,0.09,3.67,-1.05,0.08
0,-1,0,-98,-380,3910,-0.01,-0.10,0.15,-0.98,-3.80,39.10,-5.59,1.52,0.09,3.66,-1.03,0.15
0,-1,0,-96,-381,3915,-0.01,-0.09,0.13,-0.96,-3.81,39.15,-5.58,1.50,0.09,3.66,-1.01,0.13
1,-1,1,-94,-383,3906,-0.00,-0.09,0.13,-0.94,-3.83,39.06,-5.59,1.48,0.09,3.53,-1.00,0.04
1,-1,1,-93,-391,3910,0.00,-0.09,0.12,-0.93,-3.91,39.10,-5.60,1.47,0.08,3.55,-0.98,0.03
-1,0,0,-99,-384,3911,-0.00,-0.08,0.11,-0.99,-3.84,39.11,-5.60,1.45,0.08,3.84,-1.11,0.11
-1,0,0,-104,-391,3914,-0.01,-0.07,0.10,-1.04,-3.91,39.14,-5.62,1.46,0.08,3.84,-1.10,0.09
-1,-1,-2,-98,-385,3901,-0.02,-0.07,0.07,-0.98,-3.85,39.01,-5.63,1.45,0.08,3.84,-0.93,0.24
0,-2,-3,-102,-385,3900,-0.01,-0.07,0.05,-1.02,-3.85,39.00,-5.63,1.46,0.08,3.69,-0.80,0.30
-1,-2,-3,-107,-388,3908,-0.02,-0.08,0.03,-1.07,-3.88,39.08,-5.64,1.48,0.08,3.84,-0.82,0.27
-1,-2,-4,-103,-396,3909,-0.02,-0.08,-0.00,-1.03,-3.96,39.09,-5.66,1.48,0.08,3.84,-0.83,0.33
-1,0,-7,-97,-394,3905,-0.03,-0.08,-0.04,-0.97,-3.94,39.05,-5.67,1.47,0.09,3.85,-1.11,0.54
-1,1,-6,-104,-392,3902,-0.03,-0.06,-0.08,-1.04,-3.92,39.02,-5.69,1.48,0.09,3.85,-1.25,0.42
1,1,-5,-106,-398,3923,-0.02,-0.05,-0.10,-1.06,-3.98,39.23,-5.70,1.49,0.09,3.57,-1.23,0.31
4,1,-5,-102,-396,3911,0.01,-0.04,-0.12,-1.02,-3.96,39.11,-5.72,1.49,0.09,3.18,-1.21,0.29
-1,-8,-10,-142,-338,3930,-0.00,-0.08,-0.17,-1.42,-3.38,39.30,-5.71,1.50,0.09,3.92,0.07,0.66
4,-4,-11,-68,-412,3890,0.02,-0.10,-0.22,-0.68,-4.12,38.90,-5.72,1.48,0.09,3.21,-0.56,0.69
4,4,-14,-118,-364,3923,0.05,-0.06,-0.28,-1.18,-3.64,39.23,-5.70,1.49,0.09,3.24,-1.72,0.88
3,3,-12,-140,-365,3929,0.06,-0.04,-0.33,-1.40,-3.65,39.29,-5.69,1.51,0.09,3.41,-1.53,0.66
-3,-2,-30,-267,-256,3931,0.04,-0.05,-0.48,-2.67,-2.56,39.31,-5.68,1.52,0.09,4.27,-0.79,2.03
-1,-1,-49,-280,-285,3924,0.03,-0.05,-0.73,-2.80,-2.85,39.24,-5.67,1.54,0.09,3.94,-0.96,3.37
13,-8,-141,-429,-381,3868,0.10,-0.09,-1.52,-4.29,-3.81,38.68,-5.67,1.55,0.10,1.95,0.02,10.33
2,-1,-219,-242,-298,3896,0.10,-0.09,-2.70,-2.42,-2.98,38.96,-5.66,1.57,0.11,3.63,-1.05,15.68
6,6,-283,-34,-309,3960,0.13,-0.04,-4.16,-0.34,-3.09,39.60,-5.64,1.55,0.13,3.06,-2.02,19.56
12,10,-280,-157,-348,3887,0.19,0.02,-5.45,-1.57,-3.48,38.87,-5.63,1.57,0.15,2.25,-2.52,17.94
-10,-4,-271,-246,-402,3841,0.11,-0.01,-6.56,-2.46,-4.02,38.41,-5.64,1.58,0.18,5.45,-0.44,16.00
7,8,-299,-177,-320,3892,0.14,0.04,-7.73,-1.77,-3.20,38.92,-5.63,1.59,0.21,2.91,-2.19,17.13
15,7,-370,-76,-372,3974,0.22,0.08,-9.21,-0.76,-3.72,39.74,-5.62,1.57,0.24,1.83,-1.95,21.57
4,0,-369,-39,-279,3873,0.22,0.07,-10.54,-0.39,-2.79,38.73,-5.60,1.56,0.28,3.51,-0.89,20.08
12,0,-347,19,-548,3861,0.27,0.07,-11.60,0.19,-5.48,38.61,-5.62,1.54,0.33,2.39,-0.89,17.08
-5,0,-331,156,-372,3763,0.22,0.06,-12.46,1.56,-3.72,37.63,-5.62,1.52,0.38,4.88,-0.89,14.81
18,2,-304,28,-344,3815,0.30,0.07,-13.07,0.28,-3.44,38.15,-5.61,1.50,0.43,1.53,-1.17,11.88
3,-1,-305,-43,-496,3916,0.29,0.05,-13.62,-0.43,-4.96,39.16,-5.63,1.48,0.49,3.81,-0.73,11.37
1,10,-157,53,-407,3939,0.27,0.11,-13.22,0.53,-4.07,39.39,-5.63,1.46,0.54,4.07,-2.28,-0.74
2,12,-127,84,-397,3930,0.25,0.17,-12.67,0.84,-3.97,39.30,-5.63,1.44,0.59,3.89,-2.46,-2.71
6,6,-91,-155,-494,3866,0.26,0.19,-11.96,-1.55,-4.94,38.66,-5.65,1.44,0.64,3.32,-1.51,-5.01
-11,-5,-146,-198,-591,3878,0.17,0.14,-11.65,-1.98,-5.91,38.78,-5.67,1.45,0.68,5.74,0.07,-0.03
18,-11,-324,243,-436,4032,0.26,0.06,-12.46,2.43,-4.36,40.32,-5.67,1.42,0.73,1.50,0.85,14.18
-3,-18,-414,16,-519,3850,0.22,-0.06,-13.74,0.16,-5.19,38.50,-5.68,1.41,0.79,4.62,1.71,20.45
5,-17,-435,-172,-338,3886,0.23,-0.15,-15.02,-1.72,-3.38,38.86,-5.67,1.42,0.85,3.41,1.37,20.87
-21,-14,-404,-181,-277,3840,0.08,-0.22,-15.99,-1.81,-2.77,38.40,-5.66,1.42,0.91,7.08,0.77,17.22
3,11,-199,-43,-236,3922,0.09,-0.13,-15.60,-0.43,-2.36,39.22,-5.64,1.41,0.97,3.43,-2.86,0.25
0,10,-158,-92,-250,3922,0.08,-0.06,-15.00,-0.92,-2.50,39.22,-5.63,1.40,1.03,3.86,-2.56,-2.59
