gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
0,0,0,2,-307,3897,-0.00,-0.00,-0.00,0.02,-3.07,38.97,-5.07,-0.29,82.40,3.34,0.19,-12.36
0,0,0,25,-368,3926,-0.00,-0.00,-0.00,0.25,-3.68,39.26,-5.09,-0.29,82.40,3.36,0.19,-12.36
0,0,0,21,-382,3949,-0.00,-0.00,-0.00,0.21,-3.82,39.49,-5.10,-0.29,82.40,3.37,0.19,-12.36
0,0,0,19,-362,3888,-0.00,-0.00,-0.00,0.19,-3.62,38.88,-5.12,-0.29,82.40,3.38,0.19,-12.36
0,0,0,27,-339,3900,-0.00,-0.00,-0.00,0.27,-3.39,39.00,-5.11,-0.30,82.40,3.37,0.20,-12.36
10,-23,-2,27,-297,3869,0.06,-0.14,-0.01,0.27,-2.97,38.69,-5.09,-0.31,82.40,3.14,0.71,-12.23
5,2,27,4,-326,3899,0.09,-0.11,0.15,0.04,-3.26,38.99,-5.07,-0.30,82.40,3.22,0.19,-14.10
4,0,28,11,-358,3899,0.10,-0.10,0.31,0.11,-3.58,38.99,-5.09,-0.28,82.40,3.25,0.22,-14.08
2,2,27,-1,-363,3892,0.10,-0.08,0.44,-0.01,-3.63,38.92,-5.10,-0.27,82.39,3.30,0.16,-13.94
1,0,26,-12,-361,3914,0.10,-0.07,0.56,-0.12,-3.61,39.14,-5.10,-0.25,82.39,3.32,0.19,-13.81
-1,0,27,-23,-386,3945,0.08,-0.06,0.67,-0.23,-3.86,39.45,-5.12,-0.24,82.39,3.37,0.18,-13.81
4,8,32,-10,-417,3857,0.10,-0.01,0.79,-0.10,-4.17,38.57,-5.13,-0.23,82.38,3.28,-0.01,-14.08
4,6,37,-21,-423,3921,0.11,0.03,0.94,-0.21,-4.23,39.21,-5.15,-0.22,82.38,3.29,0.02,-14.34
-4,4,51,-47,-393,3850,0.08,0.05,1.16,-0.47,-3.93,38.50,-5.16,-0.21,82.38,3.47,0.04,-15.16
-6,11,2,-81,-359,3918,0.03,0.11,1.05,-0.81,-3.59,39.18,-5.16,-0.19,82.37,3.52,-0.13,-11.90
-4,-2,-13,61,-377,3939,0.01,0.09,0.87,0.61,-3.77,39.39,-5.17,-0.21,82.37,3.49,0.15,-10.99
-2,-1,3,58,-405,3904,-0.01,0.07,0.80,0.58,-4.05,39.04,-5.18,-0.22,82.37,3.46,0.14,-12.11
-2,1,52,13,-355,3883,-0.02,0.07,1.04,0.13,-3.55,38.83,-5.20,-0.21,82.36,3.48,0.10,-15.30
6,11,65,32,-322,3844,0.02,0.13,1.33,0.32,-3.22,38.44,-5.18,-0.22,82.36,3.29,-0.12,-16.01
3,8,67,48,-222,3865,0.04,0.17,1.61,0.48,-2.22,38.65,-5.16,-0.22,82.35,3.34,-0.06,-15.99
4,1,56,51,-242,3927,0.06,0.16,1.79,0.51,-2.42,39.27,-5.15,-0.22,82.34,3.30,0.08,-15.14
2,-3,39,55,-317,3893,0.06,0.12,1.85,0.55,-3.17,38.93,-5.13,-0.24,82.34,3.33,0.18,-13.96
1,-1,39,62,-326,3883,0.06,0.10,1.90,0.62,-3.26,38.83,-5.13,-0.25,82.33,3.35,0.16,-13.93
2,0,36,31,-345,3906,0.07,0.09,1.93,0.31,-3.45,39.06,-5.12,-0.27,82.32,3.32,0.15,-13.71
2,0,37,35,-328,3901,0.07,0.08,1.96,0.35,-3.28,39.01,-5.10,-0.28,82.31,3.31,0.16,-13.75
1,4,33,54,-329,3895,0.07,0.10,1.97,0.54,-3.29,38.95,-5.10,-0.29,82.31,3.32,0.08,-13.48
1,5,30,50,-340,3897,0.07,0.12,1.95,0.50,-3.40,38.97,-5.09,-0.31,82.30,3.32,0.07,-13.28
2,3,27,31,-308,3896,0.08,0.13,1.92,0.31,-3.08,38.96,-5.07,-0.31,82.29,3.29,0.11,-13.09
2,2,28,47,-314,3868,0.08,0.13,1.90,0.47,-3.14,38.68,-5.06,-0.32,82.28,3.28,0.14,-13.17
0,1,25,2,-345,3909,0.07,0.12,1.86,0.02,-3.45,39.09,-5.06,-0.30,82.28,3.32,0.15,-12.99
0,2,23,-3,-344,3908,0.07,0.12,1.82,-0.03,-3.44,39.08,-5.06,-0.28,82.27,3.32,0.11,-12.88
1,9,22,26,-376,3940,0.07,0.16,1.77,0.26,-3.76,39.40,-5.07,-0.29,82.26,3.31,-0.04,-12.84
3,8,25,10,-396,3927,0.08,0.20,1.75,0.10,-3.96,39.27,-5.09,-0.28,82.25,3.28,-0.03,-13.05
3,10,27,29,-326,3888,0.09,0.24,1.74,0.29,-3.26,38.88,-5.07,-0.29,82.25,3.26,-0.08,-13.19
3,9,25,27,-343,3899,0.10,0.27,1.71,0.27,-3.43,38.99,-5.07,-0.30,82.24,3.26,-0.06,-13.07
10,11,21,47,-378,3926,0.15,0.31,1.67,0.47,-3.78,39.26,-5.08,-0.31,82.23,3.11,-0.10,-12.82
7,7,22,24,-340,3873,0.18,0.32,1.64,0.24,-3.40,38.73,-5.06,-0.32,82.23,3.15,-0.02,-12.91
2,8,21,1,-356,3905,0.17,0.34,1.60,0.01,-3.56,39.05,-5.07,-0.30,82.22,3.26,-0.05,-12.86
1,5,19,13,-330,3899,0.16,0.33,1.56,0.13,-3.30,38.99,-5.05,-0.29,82.22,3.27,0.00,-12.75
3,7,23,-1,-347,3920,0.16,0.34,1.54,-0.01,-3.47,39.20,-5.05,-0.27,82.21,3.23,-0.06,-13.02
4,10,24,4,-326,3904,0.17,0.37,1.53,0.04,-3.26,39.04,-5.04,-0.26,82.20,3.20,-0.13,-13.10
3,4,25,21,-351,3898,0.17,0.36,1.53,0.21,-3.51,38.98,-5.05,-0.27,82.20,3.23,-0.00,-13.16
3,4,24,21,-356,3903,0.17,0.35,1.53,0.21,-3.56,39.03,-5.07,-0.27,82.19,3.24,0.00,-13.10
3,7,27,17,-360,3909,0.17,0.35,1.54,0.17,-3.60,39.09,-5.09,-0.26,82.18,3.25,-0.06,-13.29
3,8,30,24,-349,3919,0.17,0.37,1.57,0.24,-3.49,39.19,-5.09,-0.28,82.18,3.25,-0.08,-13.48
3,8,24,32,-340,3885,0.18,0.38,1.56,0.32,-3.40,38.85,-5.08,-0.30,82.17,3.24,-0.07,-13.08
4,9,23,59,-351,3875,0.18,0.40,1.54,0.59,-3.51,38.75,-5.08,-0.31,82.17,3.22,-0.09,-13.02
5,5,18,28,-343,3899,0.19,0.39,1.50,0.28,-3.43,38.99,-5.07,-0.33,82.16,3.19,0.01,-12.70
5,6,19,20,-358,3910,0.21,0.39,1.46,0.20,-3.58,39.10,-5.09,-0.32,82.16,3.20,-0.02,-12.79
4,8,21,-19,-347,3928,0.21,0.40,1.45,-0.19,-3.47,39.28,-5.09,-0.30,82.15,3.22,-0.07,-12.93
2,8,22,-11,-360,3911,0.20,0.40,1.44,-0.11,-3.60,39.11,-5.09,-0.28,82.14,3.27,-0.09,-13.01
3,9,18,-3,-360,3904,0.20,0.42,1.40,-0.03,-3.60,39.04,-5.10,-0.26,82.14,3.25,-0.12,-12.75
4,8,13,-37,-378,3874,0.20,0.43,1.34,-0.37,-3.78,38.74,-5.11,-0.24,82.13,3.24,-0.12,-12.45
1,7,19,-11,-449,3894,0.19,0.43,1.32,-0.11,-4.49,38.94,-5.13,-0.24,82.13,3.31,-0.10,-12.86
-1,5,16,-21,-393,3866,0.16,0.41,1.29,-0.21,-3.93,38.66,-5.14,-0.22,82.12,3.37,-0.07,-12.68
0,2,4,84,-281,3896,0.15,0.38,1.18,0.84,-2.81,38.96,-5.13,-0.23,82.12,3.34,0.01,-11.92
0,2,7,73,-296,3905,0.13,0.36,1.11,0.73,-2.96,39.05,-5.11,-0.25,82.11,3.34,0.02,-12.17
3,-4,29,-10,-321,3890,0.14,0.30,1.17,-0.10,-3.21,38.90,-5.10,-0.23,82.11,3.27,0.15,-13.62
0,-4,38,40,-389,3865,0.12,0.24,1.29,0.40,-3.89,38.65,-5.12,-0.24,82.10,3.34,0.17,-14.17
2,1,36,53,-285,3914,0.12,0.23,1.38,0.53,-2.85,39.14,-5.10,-0.25,82.10,3.29,0.08,-13.98
2,2,33,63,-304,3903,0.12,0.22,1.44,0.63,-3.04,39.03,-5.09,-0.26,82.09,3.28,0.07,-13.74
2,4,27,52,-347,3893,0.12,0.22,1.46,0.52,-3.47,38.93,-5.09,-0.27,82.09,3.28,0.04,-13.32
1,6,26,33,-358,3895,0.12,0.23,1.48,0.33,-3.58,38.95,-5.10,-0.29,82.08,3.31,0.00,-13.25
-2,7,20,-7,-361,3916,0.09,0.25,1.45,-0.07,-3.61,39.16,-5.10,-0.27,82.08,3.38,-0.03,-12.85
2,9,21,-15,-433,3930,0.10,0.28,1.43,-0.15,-4.33,39.30,-5.12,-0.26,82.07,3.31,-0.09,-12.93
5,18,16,-64,-518,3851,0.12,0.36,1.39,-0.64,-5.18,38.51,-5.14,-0.25,82.07,3.26,-0.30,-12.62
-4,13,17,-106,-584,3906,0.08,0.41,1.35,-1.06,-5.84,39.06,-5.15,-0.24,82.06,3.46,-0.22,-12.70
2,7,49,-2,-441,3940,0.09,0.41,1.52,-0.02,-4.41,39.40,-5.17,-0.23,82.05,3.35,-0.10,-14.78
10,13,63,-4,-530,3823,0.14,0.45,1.75,-0.04,-5.30,38.23,-5.19,-0.23,82.05,3.18,-0.23,-15.60
-1,12,112,8,-384,3828,0.12,0.48,2.26,0.08,-3.84,38.28,-5.20,-0.22,82.04,3.42,-0.23,-18.63
9,18,118,10,-393,3881,0.16,0.54,2.75,0.10,-3.93,38.81,-5.22,-0.22,82.03,3.22,-0.37,-18.76
-9,5,141,171,-53,3846,0.09,0.51,3.34,1.71,-0.53,38.46,-5.21,-0.22,82.01,3.59,-0.09,-19.99
-1,7,126,176,-50,3929,0.07,0.51,3.77,1.76,-0.50,39.29,-5.19,-0.23,82.00,3.42,-0.13,-18.72
15,12,22,192,-312,3924,0.16,0.53,3.53,1.92,-3.12,39.24,-5.18,-0.24,81.99,3.07,-0.23,-11.81
1,8,20,106,-359,3857,0.15,0.52,3.30,1.06,-3.59,38.57,-5.19,-0.26,81.97,3.36,-0.14,-11.80
