gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
0,0,-1,-59,-409,3911,-0.01,-0.00,-0.03,-0.59,-4.09,39.11,-5.96,0.81,173.26,3.94,-0.54,-20.00
0,-1,-1,-57,-410,3890,-0.01,-0.01,-0.03,-0.57,-4.10,38.90,-5.98,0.82,173.26,3.95,-0.52,-20.00
-4,-3,-2,-59,-399,3932,-0.03,-0.03,-0.04,-0.59,-3.99,39.32,-5.96,0.82,173.26,4.02,-0.48,-20.00
-1,-1,-3,-36,-389,3896,-0.04,-0.03,-0.05,-0.36,-3.89,38.96,-5.95,0.81,173.26,3.95,-0.51,-20.00
1,-1,1,-51,-392,3913,-0.03,-0.03,-0.04,-0.51,-3.92,39.13,-5.93,0.80,173.26,3.90,-0.50,-20.00
1,-1,-1,-47,-402,3920,-0.02,-0.03,-0.04,-0.47,-4.02,39.20,-5.92,0.79,173.26,3.89,-0.49,-20.00
0,0,-1,-53,-412,3918,-0.02,-0.03,-0.05,-0.53,-4.12,39.18,-5.94,0.78,173.26,3.92,-0.51,-20.00
0,-1,0,-49,-402,3920,-0.01,-0.03,-0.04,-0.49,-4.02,39.20,-5.92,0.77,173.26,3.91,-0.48,-20.00
1,-2,-1,-55,-405,3907,-0.01,-0.04,-0.04,-0.55,-4.05,39.07,-5.92,0.79,173.26,3.89,-0.47,-20.00
2,-2,-1,-60,-407,3898,0.01,-0.05,-0.05,-0.60,-4.07,38.98,-5.93,0.81,173.26,3.87,-0.48,-20.00
2,-3,-3,-54,-411,3906,0.02,-0.06,-0.06,-0.54,-4.11,39.06,-5.95,0.80,173.26,3.88,-0.45,-20.00
2,-3,-2,-56,-391,3916,0.03,-0.08,-0.07,-0.56,-3.91,39.16,-5.93,0.80,173.26,3.86,-0.45,-20.00
1,-2,-2,-65,-396,3919,0.03,-0.08,-0.07,-0.65,-3.96,39.19,-5.91,0.81,173.26,3.87,-0.47,-20.00
2,-2,-1,-59,-399,3903,0.04,-0.08,-0.07,-0.59,-3.99,39.03,-5.90,0.82,173.26,3.84,-0.48,-20.00
0,-1,0,-54,-395,3904,0.04,-0.08,-0.06,-0.54,-3.95,39.04,-5.88,0.82,173.26,3.87,-0.50,-20.00
0,0,-1,-63,-391,3912,0.03,-0.07,-0.06,-0.63,-3.91,39.12,-5.86,0.83,173.26,3.86,-0.53,-20.00
-1,0,-1,-62,-394,3900,0.02,-0.07,-0.06,-0.62,-3.94,39.00,-5.85,0.84,173.26,3.88,-0.54,-20.00
-1,1,-1,-58,-403,3899,0.01,-0.05,-0.06,-0.58,-4.03,38.99,-5.87,0.84,173.26,3.89,-0.56,-20.00
0,1,0,-50,-403,3908,0.01,-0.04,-0.06,-0.50,-4.03,39.08,-5.87,0.82,173.26,3.87,-0.55,-20.00
-1,0,-1,-54,-402,3911,0.01,-0.04,-0.06,-0.54,-4.02,39.11,-5.87,0.80,173.26,3.89,-0.52,-20.00
