gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
0,0,0,-53,-424,3886,-0.04,-0.00,-0.02,-0.53,-4.24,38.86,-6.27,0.83,0.08,4.15,-0.55,-0.03
6,1,0,-36,-421,3895,-0.00,0.00,-0.02,-0.36,-4.21,38.95,-6.26,0.81,0.08,4.01,-0.56,-0.03
0,1,-2,-40,-417,3943,-0.00,0.01,-0.03,-0.40,-4.17,39.43,-6.25,0.80,0.08,4.12,-0.55,0.13
-2,0,-1,-62,-405,3945,-0.01,0.01,-0.03,-0.62,-4.05,39.45,-6.23,0.80,0.08,4.16,-0.53,0.04
-4,2,1,-95,-438,3919,-0.04,0.02,-0.02,-0.95,-4.38,39.19,-6.24,0.82,0.08,4.21,-0.59,-0.12
-3,2,1,-78,-456,3894,-0.05,0.03,-0.01,-0.78,-4.56,38.94,-6.25,0.83,0.08,4.20,-0.60,-0.11
-4,-1,1,-78,-461,3892,-0.07,0.02,-0.01,-0.78,-4.61,38.92,-6.27,0.84,0.08,4.24,-0.54,-0.10
-1,-1,-2,-46,-437,3888,-0.07,0.01,-0.02,-0.46,-4.37,38.88,-6.28,0.83,0.08,4.18,-0.53,0.14
1,-1,-1,-32,-436,3890,-0.06,0.01,-0.02,-0.32,-4.36,38.90,-6.28,0.81,0.08,4.14,-0.51,0.05
5,-2,-1,-34,-403,3888,-0.02,-0.01,-0.03,-0.34,-4.03,38.88,-6.27,0.80,0.08,4.04,-0.48,0.05
5,-1,-1,-35,-395,3896,0.01,-0.01,-0.03,-0.35,-3.95,38.96,-6.26,0.79,0.08,4.02,-0.50,0.05
2,0,0,-54,-387,3918,0.02,-0.01,-0.03,-0.54,-3.87,39.18,-6.24,0.79,0.08,4.07,-0.52,-0.04
0,0,0,-64,-402,3912,0.02,-0.01,-0.02,-0.64,-4.02,39.12,-6.22,0.79,0.08,4.10,-0.52,-0.03
-1,2,0,-80,-421,3915,0.01,0.00,-0.02,-0.80,-4.21,39.15,-6.22,0.81,0.08,4.12,-0.58,-0.03
-2,1,0,-73,-416,3919,-0.00,0.01,-0.02,-0.73,-4.16,39.19,-6.21,0.83,0.08,4.14,-0.57,-0.03
