gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
5,-3,-131,43,-281,3969,0.16,-0.01,-15.62,0.43,-2.81,39.69,-3.27,-2.48,79.43,2.01,1.70,-3.21
1,1,-140,-27,-247,3973,0.15,-0.00,-14.91,-0.27,-2.47,39.73,-3.27,-2.46,79.49,2.10,1.61,-2.87
-5,-8,-120,-43,-350,3882,0.10,-0.05,-14.15,-0.43,-3.50,38.82,-3.28,-2.45,79.54,2.24,1.79,-3.11
2,-9,-125,-30,-333,3904,0.11,-0.10,-13.50,-0.30,-3.33,39.04,-3.28,-2.44,79.60,2.10,1.82,-2.86
-7,6,-147,-15,-355,3943,0.05,-0.05,-13.04,-0.15,-3.55,39.43,-3.29,-2.42,79.65,2.30,1.49,-2.31
7,4,-149,-51,-323,3910,0.09,-0.03,-12.65,-0.51,-3.23,39.10,-3.30,-2.41,79.70,2.01,1.52,-2.19
-2,-2,-168,-58,-374,3963,0.07,-0.03,-12.41,-0.58,-3.74,39.63,-3.30,-2.40,79.75,2.20,1.63,-1.75
0,2,-142,92,-197,3892,0.06,-0.02,-12.03,0.92,-1.97,38.92,-3.30,-2.38,79.79,2.16,1.54,-2.19
-3,-1,-122,60,-220,3880,0.04,-0.02,-11.57,0.60,-2.20,38.80,-3.29,-2.37,79.84,2.22,1.59,-2.50
3,3,-60,64,-181,3932,0.05,-0.00,-10.78,0.64,-1.81,39.32,-3.28,-2.35,79.88,2.09,1.49,-3.58
2,10,-52,33,-169,3909,0.06,0.06,-10.02,0.33,-1.69,39.09,-3.27,-2.34,79.92,2.10,1.33,-3.58
1,13,-21,26,-291,3953,0.06,0.13,-9.15,0.26,-2.91,39.53,-3.28,-2.32,79.96,2.13,1.23,-4.01
-1,10,-12,-13,-318,3956,0.05,0.18,-8.31,-0.13,-3.18,39.56,-3.29,-2.31,79.99,2.18,1.27,-4.01
