gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
-13,33,11,-8,-82,3966,-0.34,1.34,2.40,-0.08,-0.82,39.66,-5.10,-0.40,110.57,3.73,-0.77,-20.00
-1,-27,-15,-5,-400,3965,-0.32,1.04,2.07,-0.05,-4.00,39.65,-5.12,-0.38,110.56,3.49,0.52,-19.61
0,-10,-6,4,-260,3922,-0.28,0.88,1.83,0.04,-2.60,39.22,-5.10,-0.37,110.55,3.45,0.21,-19.89
1,-14,-3,13,-315,3946,-0.25,0.70,1.63,0.13,-3.15,39.46,-5.09,-0.36,110.55,3.41,0.33,-19.97
3,2,8,21,-317,3931,-0.21,0.65,1.51,0.21,-3.17,39.31,-5.07,-0.36,110.54,3.34,0.02,-20.00
4,5,10,1,-346,3918,-0.16,0.61,1.42,0.01,-3.46,39.18,-5.07,-0.34,110.54,3.31,-0.05,-20.00
3,-19,16,25,-366,3927,-0.13,0.43,1.38,0.25,-3.66,39.27,-5.09,-0.34,110.53,3.33,0.49,-20.00
4,-27,14,45,-346,3910,-0.09,0.23,1.32,0.45,-3.46,39.10,-5.09,-0.35,110.53,3.30,0.72,-20.00
-1,-12,10,37,-351,3894,-0.09,0.13,1.25,0.37,-3.51,38.94,-5.09,-0.37,110.52,3.41,0.45,-20.00
0,-14,12,20,-343,3917,-0.08,0.03,1.20,0.20,-3.43,39.17,-5.08,-0.36,110.52,3.37,0.51,-20.00
1,-19,15,24,-350,3931,-0.06,-0.09,1.17,0.24,-3.50,39.31,-5.09,-0.34,110.51,3.36,0.64,-20.00
3,-9,17,28,-339,3907,-0.04,-0.13,1.16,0.28,-3.39,39.07,-5.08,-0.35,110.51,3.30,0.45,-20.00
3,-2,16,23,-341,3907,-0.02,-0.13,1.14,0.23,-3.41,39.07,-5.06,-0.35,110.50,3.28,0.31,-20.00
-2,25,16,31,-336,3919,-0.03,0.03,1.12,0.31,-3.36,39.19,-5.04,-0.36,110.50,3.38,-0.28,-20.00
-2,25,21,26,-352,3921,-0.04,0.18,1.14,0.26,-3.52,39.21,-5.06,-0.36,110.49,3.39,-0.32,-20.00
-3,21,21,7,-361,3933,-0.05,0.29,1.15,0.07,-3.61,39.33,-5.07,-0.34,110.49,3.42,-0.28,-20.00
-4,20,19,20,-360,3926,-0.07,0.39,1.15,0.20,-3.60,39.26,-5.09,-0.34,110.48,3.46,-0.29,-20.00
0,8,17,22,-341,3904,-0.06,0.40,1.14,0.22,-3.41,39.04,-5.07,-0.33,110.48,3.37,-0.05,-20.00
0,9,17,15,-345,3907,-0.06,0.41,1.13,0.15,-3.45,39.07,-5.07,-0.31,110.48,3.36,-0.09,-20.00
-3,22,20,21,-341,3899,-0.07,0.50,1.14,0.21,-3.41,38.99,-5.05,-0.31,110.47,3.41,-0.38,-20.00
-5,23,28,-32,-335,3919,-0.09,0.59,1.20,-0.32,-3.35,39.19,-5.05,-0.29,110.47,3.46,-0.44,-20.00
-4,8,36,15,-318,3900,-0.11,0.58,1.30,0.15,-3.18,39.00,-5.03,-0.28,110.46,3.43,-0.14,-20.00
-18,14,39,45,-178,3990,-0.21,0.61,1.41,0.45,-1.78,39.90,-5.01,-0.28,110.46,3.73,-0.27,-20.00
13,-2,47,54,-387,3955,-0.11,0.54,1.55,0.54,-3.87,39.55,-5.03,-0.29,110.45,3.08,0.09,-20.00
5,-15,67,52,-391,3977,-0.07,0.39,1.81,0.52,-3.91,39.77,-5.04,-0.30,110.44,3.24,0.40,-20.00
0,-1,86,10,-246,3839,-0.06,0.35,2.15,0.10,-2.46,38.39,-5.02,-0.30,110.44,3.33,0.12,-20.00
-2,3,75,-49,-334,3905,-0.07,0.33,2.39,-0.49,-3.34,39.05,-5.02,-0.28,110.43,3.37,0.03,-20.00
-12,3,43,23,-106,3917,-0.13,0.32,2.42,0.23,-1.06,39.17,-5.00,-0.27,110.42,3.58,0.03,-20.00
-1,-4,25,36,-155,3967,-0.13,0.26,2.33,0.36,-1.55,39.67,-4.99,-0.27,110.41,3.35,0.19,-20.00
-1,-13,-42,61,-246,3889,-0.12,0.15,1.84,0.61,-2.46,38.89,-4.97,-0.28,110.40,3.33,0.41,-18.64
0,1,-49,24,-306,3786,-0.11,0.14,1.35,0.24,-3.06,37.86,-4.95,-0.28,110.40,3.30,0.13,-18.35
5,-13,8,7,-583,4069,-0.07,0.05,1.27,0.07,-5.83,40.69,-4.97,-0.28,110.39,3.20,0.44,-20.00
5,-24,27,-7,-466,3925,-0.03,-0.10,1.31,-0.07,-4.66,39.25,-4.99,-0.28,110.38,3.20,0.70,-20.00
-2,3,27,27,-279,3845,-0.04,-0.07,1.34,0.27,-2.79,38.45,-4.97,-0.28,110.38,3.33,0.14,-20.00
-4,16,5,-10,-305,3860,-0.06,0.03,1.24,-0.10,-3.05,38.60,-4.96,-0.27,110.37,3.37,-0.16,-20.00
6,-20,-45,13,-377,3994,-0.02,-0.09,0.84,0.13,-3.77,39.94,-4.98,-0.26,110.37,3.17,0.61,-18.43
1,-26,-46,10,-419,3907,-0.01,-0.24,0.47,0.10,-4.19,39.07,-4.99,-0.26,110.37,3.28,0.77,-18.36
-10,14,-30,93,-328,3873,-0.07,-0.13,0.24,0.93,-3.28,38.73,-4.99,-0.28,110.37,3.52,-0.06,-18.88
-3,20,-27,42,-333,3880,-0.08,0.00,0.05,0.42,-3.33,38.80,-4.99,-0.30,110.37,3.37,-0.21,-18.96
