gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
1,1,1,-47,-432,3887,-0.06,0.07,0.03,-0.47,-4.32,38.87,-6.27,0.84,-0.13,4.14,-0.59,-0.04
4,1,1,-53,-402,3893,-0.03,0.07,0.03,-0.53,-4.02,38.93,-6.25,0.84,-0.13,4.06,-0.59,-0.04
-2,3,0,-66,-418,3917,-0.04,0.08,0.03,-0.66,-4.18,39.17,-6.24,0.85,-0.13,4.17,-0.64,0.04
-5,2,0,-60,-420,3896,-0.07,0.08,0.02,-0.60,-4.20,38.96,-6.22,0.86,-0.13,4.23,-0.63,0.04
-3,0,1,-77,-418,3912,-0.08,0.07,0.03,-0.77,-4.18,39.12,-6.22,0.87,-0.13,4.18,-0.60,-0.04
-2,2,1,-61,-434,3903,-0.08,0.08,0.03,-0.61,-4.34,39.03,-6.23,0.88,-0.13,4.18,-0.64,-0.04
-1,0,1,-57,-467,3888,-0.08,0.07,0.03,-0.57,-4.67,38.88,-6.25,0.88,-0.13,4.17,-0.60,-0.04
1,0,0,-57,-460,3894,-0.07,0.06,0.03,-0.57,-4.60,38.94,-6.27,0.87,-0.13,4.14,-0.59,0.04
4,0,-1,-54,-423,3907,-0.04,0.06,0.02,-0.54,-4.23,39.07,-6.26,0.86,-0.13,4.06,-0.58,0.12
5,1,-1,-44,-414,3908,-0.00,0.06,0.01,-0.44,-4.14,39.08,-6.25,0.85,-0.13,4.02,-0.60,0.11
4,0,0,-47,-401,3907,0.02,0.05,0.01,-0.47,-4.01,39.07,-6.23,0.84,-0.13,4.02,-0.57,0.02
3,0,1,-59,-405,3914,0.04,0.05,0.02,-0.59,-4.05,39.14,-6.21,0.84,-0.13,4.03,-0.57,-0.05
-2,2,1,-71,-413,3935,0.02,0.05,0.02,-0.71,-4.13,39.35,-6.20,0.86,-0.13,4.12,-0.62,-0.05
-3,1,1,-69,-418,3907,0.00,0.05,0.03,-0.69,-4.18,39.07,-6.19,0.87,-0.13,4.14,-0.61,-0.05
-1,1,1,-62,-439,3911,-0.00,0.06,0.03,-0.62,-4.39,39.11,-6.20,0.87,-0.13,4.12,-0.61,-0.04
-1,1,0,-61,-445,3928,-0.01,0.06,0.03,-0.61,-4.45,39.28,-6.22,0.88,-0.13,4.13,-0.61,0.04
-4,0,0,-68,-442,3900,-0.03,0.05,0.02,-0.68,-4.42,39.00,-6.24,0.88,-0.13,4.21,-0.60,0.04
-3,1,0,-74,-442,3896,-0.05,0.05,0.02,-0.74,-4.42,38.96,-6.25,0.90,-0.13,4.20,-0.63,0.03
-1,0,1,-63,-419,3909,-0.05,0.05,0.03,-0.63,-4.19,39.09,-6.24,0.90,-0.13,4.15,-0.61,-0.05
-1,0,0,-64,-412,3913,-0.05,0.04,0.02,-0.64,-4.12,39.13,-6.22,0.90,-0.13,4.14,-0.61,0.04
-1,0,2,-57,-405,3903,-0.05,0.04,0.03,-0.57,-4.05,39.03,-6.20,0.90,-0.13,4.13,-0.60,-0.12
1,0,0,-48,-417,3899,-0.04,0.03,0.03,-0.48,-4.17,38.99,-6.19,0.88,-0.13,4.08,-0.59,0.04
1,1,0,-39,-428,3913,-0.03,0.04,0.03,-0.39,-4.28,39.13,-6.20,0.86,-0.13,4.08,-0.60,0.04
1,1,0,-42,-429,3919,-0.02,0.04,0.02,-0.42,-4.29,39.19,-6.20,0.85,-0.13,4.08,-0.59,0.04
0,0,0,-59,-437,3913,-0.02,0.04,0.02,-0.59,-4.37,39.13,-6.22,0.85,-0.13,4.11,-0.57,0.03
-1,0,0,-61,-431,3912,-0.02,0.03,0.02,-0.61,-4.31,39.12,-6.23,0.86,-0.13,4.14,-0.57,0.03
0,0,0,-73,-431,3916,-0.02,0.03,0.02,-0.73,-4.31,39.16,-6.24,0.87,-0.13,4.12,-0.58,0.03
0,1,1,-70,-435,3923,-0.02,0.03,0.02,-0.70,-4.35,39.23,-6.25,0.89,-0.13,4.13,-0.62,-0.05
0,-1,3,-61,-429,3907,-0.02,0.02,0.04,-0.61,-4.29,39.07,-6.27,0.89,-0.13,4.14,-0.57,-0.20
0,0,2,-55,-420,3898,-0.02,0.02,0.05,-0.55,-4.20,38.98,-6.25,0.88,-0.13,4.13,-0.59,-0.11
0,2,1,-47,-418,3914,-0.01,0.03,0.05,-0.47,-4.18,39.14,-6.24,0.86,-0.13,4.12,-0.62,-0.02
1,1,1,-44,-425,3908,-0.01,0.03,0.05,-0.44,-4.25,39.08,-6.24,0.85,-0.13,4.10,-0.59,-0.02
2,0,1,-42,-422,3909,0.01,0.03,0.05,-0.42,-4.22,39.09,-6.23,0.83,-0.13,4.07,-0.56,-0.02
1,0,2,-56,-419,3913,0.01,0.03,0.06,-0.56,-4.19,39.13,-6.21,0.83,-0.13,4.08,-0.55,-0.10
0,1,1,-70,-425,3911,0.01,0.03,0.06,-0.70,-4.25,39.11,-6.21,0.85,-0.14,4.10,-0.59,-0.01
0,1,1,-62,-429,3907,0.01,0.03,0.06,-0.62,-4.29,39.07,-6.22,0.86,-0.14,4.11,-0.60,-0.01
0,2,2,-63,-435,3898,0.01,0.04,0.06,-0.63,-4.35,38.98,-6.24,0.87,-0.14,4.12,-0.62,-0.09
0,1,1,-66,-437,3909,0.01,0.04,0.06,-0.66,-4.37,39.09,-6.26,0.88,-0.14,4.13,-0.61,-0.00
