gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
-44,0,29,171,-371,3803,0.56,0.51,-0.66,1.71,-3.71,38.03,-4.35,-2.07,-6.27,3.61,1.23,-2.59
-40,-4,73,123,-347,3761,0.26,0.43,-0.15,1.23,-3.47,37.61,-4.36,-2.07,-6.27,3.62,1.33,-5.78
15,29,86,100,-331,3776,0.33,0.56,0.39,1.00,-3.31,37.76,-4.37,-2.05,-6.27,2.49,0.61,-6.31
37,43,85,104,-330,3780,0.52,0.77,0.87,1.04,-3.30,37.80,-4.39,-2.04,-6.27,2.00,0.26,-5.72
94,89,74,124,-308,3854,1.04,1.24,1.23,1.24,-3.08,38.54,-4.40,-2.02,-6.28,0.71,-0.81,-4.40
101,97,70,114,-299,3870,1.55,1.70,1.54,1.14,-2.99,38.70,-4.39,-1.99,-6.28,0.42,-1.12,-3.74
102,96,65,120,-268,3880,2.02,2.12,1.78,1.20,-2.68,38.80,-4.37,-1.98,-6.29,0.26,-1.23,-3.06
61,57,70,132,-208,3885,2.19,2.25,2.03,1.32,-2.08,38.85,-4.34,-1.97,-6.30,1.03,-0.48,-3.21
45,45,71,129,-204,3891,2.25,2.30,2.26,1.29,-2.04,38.91,-4.31,-1.96,-6.30,1.32,-0.25,-3.06
-5,25,64,118,-201,3882,1.99,2.23,2.42,1.18,-2.01,38.82,-4.29,-1.94,-6.31,2.39,0.17,-2.29
-16,29,60,109,-202,3885,1.69,2.18,2.55,1.09,-2.02,38.85,-4.26,-1.93,-6.32,2.68,0.09,-1.82
-56,53,49,97,-189,3898,1.18,2.29,2.59,0.97,-1.89,38.98,-4.24,-1.91,-6.33,3.62,-0.44,-0.84
-64,60,49,107,-172,3900,0.68,2.42,2.63,1.07,-1.72,39.00,-4.22,-1.90,-6.34,3.90,-0.63,-0.79
-72,65,47,97,-173,3931,0.17,2.58,2.66,0.97,-1.73,39.31,-4.20,-1.88,-6.35,4.19,-0.78,-0.60
-65,62,43,84,-180,3947,-0.25,2.70,2.65,0.84,-1.80,39.47,-4.19,-1.86,-6.36,4.15,-0.77,-0.26
-17,48,23,89,-185,4002,-0.32,2.72,2.53,0.89,-1.85,40.02,-4.17,-1.85,-6.37,3.19,-0.50,1.30
12,33,14,86,-185,3991,-0.22,2.65,2.36,0.86,-1.85,39.91,-4.16,-1.83,-6.37,2.56,-0.19,1.89
59,1,5,87,-168,3978,0.16,2.39,2.15,0.87,-1.68,39.78,-4.14,-1.81,-6.38,1.49,0.52,2.43
65,-6,4,88,-172,3960,0.54,2.12,1.96,0.88,-1.72,39.60,-4.12,-1.80,-6.39,1.25,0.73,2.31
69,-10,-2,84,-193,3945,0.91,1.84,1.75,0.84,-1.93,39.45,-4.10,-1.78,-6.39,1.05,0.88,2.60
62,-8,-6,86,-208,3939,1.20,1.61,1.54,0.86,-2.08,39.39,-4.08,-1.77,-6.40,1.10,0.89,2.72
33,-5,-18,82,-241,3925,1.28,1.42,1.28,0.82,-2.41,39.25,-4.06,-1.75,-6.40,1.66,0.87,3.46
22,-5,-18,87,-246,3928,1.29,1.25,1.04,0.87,-2.46,39.28,-4.04,-1.73,-6.41,1.87,0.90,3.20
-16,-7,-7,107,-277,3950,1.06,1.08,0.89,1.07,-2.77,39.50,-4.03,-1.71,-6.41,2.70,0.98,2.12
-28,-10,-2,108,-279,3946,0.78,0.91,0.79,1.08,-2.79,39.46,-4.03,-1.69,-6.41,3.02,1.07,1.59
-66,-25,28,106,-269,3929,0.30,0.67,0.88,1.06,-2.69,39.29,-4.02,-1.67,-6.42,3.91,1.43,-0.86
-83,-36,47,90,-256,3902,-0.24,0.38,1.08,0.90,-2.56,39.02,-4.01,-1.65,-6.42,4.40,1.72,-2.26
-104,-45,70,90,-243,3883,-0.85,0.07,1.40,0.90,-2.43,38.83,-4.00,-1.64,-6.43,4.98,1.98,-3.87
-105,-40,69,88,-237,3886,-1.40,-0.18,1.68,0.88,-2.37,38.86,-3.99,-1.63,-6.43,5.15,1.94,-3.49
-93,-12,48,95,-250,3885,-1.83,-0.24,1.81,0.95,-2.50,38.85,-3.98,-1.62,-6.44,5.02,1.38,-1.57
-87,-7,37,96,-246,3873,-2.18,-0.26,1.85,0.96,-2.46,38.73,-3.98,-1.61,-6.45,4.99,1.28,-0.59
-55,-12,3,105,-226,3860,-2.29,-0.30,1.68,1.05,-2.26,38.60,-3.97,-1.61,-6.45,4.36,1.39,2.11
-47,-15,-4,116,-212,3859,-2.35,-0.37,1.49,1.16,-2.12,38.59,-3.96,-1.61,-6.46,4.21,1.47,2.50
-11,-14,-11,132,-194,3884,-2.18,-0.41,1.28,1.32,-1.94,38.84,-3.95,-1.62,-6.46,3.43,1.47,2.86
0,-11,-15,120,-195,3890,-1.97,-0.44,1.06,1.20,-1.95,38.90,-3.94,-1.62,-6.47,3.14,1.42,2.97
52,9,-38,115,-233,3932,-1.45,-0.34,0.72,1.15,-2.33,39.32,-3.93,-1.63,-6.47,1.93,0.98,4.56
75,15,-57,113,-255,3950,-0.85,-0.22,0.30,1.13,-2.55,39.50,-3.91,-1.63,-6.47,1.29,0.83,5.73
106,16,-70,134,-277,3966,-0.12,-0.10,-0.16,1.34,-2.77,39.66,-3.92,-1.65,-6.47,0.46,0.79,6.35
