gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
3,0,0,-55,-387,3890,0.03,0.01,-0.01,-0.55,-3.87,38.90,-5.70,0.92,7.83,0.24,-0.05,-0.19
6,0,0,-50,-393,3888,0.06,0.01,-0.01,-0.50,-3.93,38.88,-5.71,0.90,7.83,0.19,-0.05,-0.19
0,1,1,-43,-394,3913,0.06,0.02,-0.00,-0.43,-3.94,39.13,-5.71,0.88,7.83,0.29,-0.06,-0.20
-1,3,1,-93,-398,3921,0.05,0.03,0.00,-0.93,-3.98,39.21,-5.71,0.90,7.83,0.30,-0.09,-0.20
0,2,0,-89,-420,3864,0.04,0.04,0.00,-0.89,-4.20,38.64,-5.73,0.91,7.83,0.29,-0.08,-0.20
-1,0,-2,-92,-427,3914,0.03,0.04,-0.01,-0.92,-4.27,39.14,-5.74,0.93,7.83,0.30,-0.05,-0.18
-1,-1,-2,-86,-404,3901,0.02,0.03,-0.02,-0.86,-4.04,39.01,-5.75,0.94,7.83,0.30,-0.03,-0.18
1,1,-3,-59,-385,3907,0.03,0.03,-0.04,-0.59,-3.85,39.07,-5.73,0.93,7.83,0.27,-0.06,-0.17
1,-1,-3,-57,-360,3917,0.03,0.02,-0.05,-0.57,-3.60,39.17,-5.72,0.93,7.83,0.27,-0.03,-0.16
2,-1,-1,-58,-362,3904,0.04,0.01,-0.05,-0.58,-3.62,39.04,-5.70,0.93,7.83,0.25,-0.03,-0.18
2,0,-1,-51,-369,3911,0.05,0.01,-0.05,-0.51,-3.69,39.11,-5.68,0.92,7.83,0.25,-0.05,-0.18
1,0,0,-52,-365,3899,0.05,0.01,-0.05,-0.52,-3.65,38.99,-5.66,0.91,7.83,0.27,-0.05,-0.19
1,0,0,-71,-390,3910,0.05,0.01,-0.04,-0.71,-3.90,39.10,-5.67,0.93,7.83,0.27,-0.05,-0.19
1,1,0,-71,-400,3891,0.05,0.02,-0.04,-0.71,-4.00,38.91,-5.68,0.94,7.84,0.27,-0.06,-0.19
0,0,-1,-70,-402,3910,0.05,0.01,-0.04,-0.70,-4.02,39.10,-5.70,0.94,7.84,0.28,-0.05,-0.18
0,0,-2,-71,-402,3912,0.04,0.01,-0.05,-0.71,-4.02,39.12,-5.72,0.95,7.84,0.29,-0.05,-0.17
-1,0,-1,-76,-388,3901,0.03,0.01,-0.05,-0.76,-3.88,39.01,-5.71,0.97,7.84,0.30,-0.05,-0.18
-1,0,-1,-76,-382,3902,0.02,0.01,-0.05,-0.76,-3.82,39.02,-5.70,0.98,7.84,0.30,-0.05,-0.18
-1,0,-1,-74,-383,3906,0.01,0.01,-0.05,-0.74,-3.83,39.06,-5.69,1.00,7.84,0.30,-0.05,-0.18
-1,0,-1,-56,-380,3903,0.01,0.01,-0.05,-0.56,-3.80,39.03,-5.68,0.98,7.84,0.30,-0.05,-0.18
1,0,0,-43,-382,3896,0.01,0.01,-0.05,-0.43,-3.82,38.96,-5.67,0.96,7.84,0.27,-0.05,-0.19
1,0,0,-42,-387,3892,0.02,0.01,-0.04,-0.42,-3.87,38.92,-5.67,0.95,7.84,0.27,-0.05,-0.19
2,0,0,-58,-397,3910,0.03,0.01,-0.04,-0.58,-3.97,39.10,-5.69,0.93,7.84,0.25,-0.05,-0.19
1,0,-1,-67,-403,3913,0.03,0.01,-0.04,-0.67,-4.03,39.13,-5.70,0.94,7.84,0.27,-0.05,-0.18
1,0,0,-79,-396,3909,0.03,0.00,-0.04,-0.79,-3.96,39.09,-5.71,0.95,7.84,0.27,-0.05,-0.19
0,0,0,-76,-394,3903,0.03,0.00,-0.03,-0.76,-3.94,39.03,-5.72,0.97,7.84,0.29,-0.05,-0.19
0,0,0,-78,-394,3911,0.03,0.00,-0.03,-0.78,-3.94,39.11,-5.72,0.99,7.84,0.29,-0.05,-0.19
1,0,-1,-78,-393,3909,0.03,0.00,-0.03,-0.78,-3.93,39.09,-5.72,1.01,7.84,0.27,-0.05,-0.18
-1,1,0,-61,-384,3905,0.02,0.01,-0.03,-0.61,-3.84,39.05,-5.71,0.99,7.84,0.30,-0.07,-0.19
0,1,0,-55,-381,3905,0.02,0.01,-0.03,-0.55,-3.81,39.05,-5.70,0.98,7.84,0.28,-0.06,-0.19
0,0,-1,-51,-379,3891,0.02,0.01,-0.03,-0.51,-3.79,38.91,-5.69,0.96,7.84,0.28,-0.05,-0.18
0,0,-1,-51,-385,3894,0.02,0.01,-0.03,-0.51,-3.85,38.94,-5.69,0.95,7.84,0.28,-0.05,-0.18
0,1,0,-65,-384,3908,0.01,0.02,-0.03,-0.65,-3.84,39.08,-5.67,0.95,7.84,0.28,-0.06,-0.19
0,0,-1,-73,-387,3908,0.01,0.01,-0.03,-0.73,-3.87,39.08,-5.67,0.97,7.84,0.28,-0.05,-0.18
