gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
2,-1,0,-63,-376,3915,0.09,-0.05,0.02,-0.63,-3.76,39.15,-5.61,0.91,-1.79,3.23,-0.49,0.09
1,-1,0,-82,-363,3907,0.09,-0.05,0.02,-0.82,-3.63,39.07,-5.60,0.92,-1.79,3.37,-0.50,0.09
1,2,1,-84,-364,3896,0.09,-0.03,0.02,-0.84,-3.64,38.96,-5.58,0.94,-1.79,3.36,-0.93,0.08
-1,0,0,-68,-387,3899,0.07,-0.03,0.02,-0.68,-3.87,38.99,-5.60,0.95,-1.79,3.65,-0.62,0.09
-3,0,2,-79,-399,3893,0.05,-0.03,0.03,-0.79,-3.99,38.93,-5.61,0.96,-1.79,3.91,-0.62,0.07
-2,2,3,-80,-379,3896,0.03,-0.01,0.04,-0.80,-3.79,38.96,-5.61,0.98,-1.79,3.72,-0.91,0.06
0,1,1,-54,-388,3893,0.03,-0.00,0.05,-0.54,-3.88,38.93,-5.62,0.96,-1.79,3.42,-0.74,0.08
0,0,2,-55,-398,3879,0.02,-0.00,0.05,-0.55,-3.98,38.79,-5.63,0.95,-1.79,3.42,-0.58,0.07
2,-2,1,-52,-394,3884,0.03,-0.02,0.05,-0.52,-3.94,38.84,-5.64,0.94,-1.79,3.14,-0.29,0.07
3,-2,1,-35,-377,3895,0.05,-0.03,0.06,-0.35,-3.77,38.95,-5.64,0.92,-1.79,3.02,-0.30,0.07
3,-1,1,-49,-383,3896,0.06,-0.03,0.06,-0.49,-3.83,38.96,-5.64,0.90,-1.79,3.04,-0.44,0.07
2,-2,1,-62,-379,3907,0.07,-0.04,0.06,-0.62,-3.79,39.07,-5.62,0.90,-1.79,3.19,-0.31,0.07
2,-1,1,-84,-370,3887,0.07,-0.04,0.06,-0.84,-3.70,38.87,-5.61,0.92,-1.79,3.20,-0.48,0.07
2,0,2,-82,-365,3902,0.08,-0.04,0.06,-0.82,-3.65,39.02,-5.60,0.93,-1.79,3.20,-0.63,0.07
-1,0,1,-78,-368,3909,0.06,-0.03,0.06,-0.78,-3.68,39.09,-5.58,0.94,-1.79,3.62,-0.63,0.07
-1,0,2,-79,-372,3887,0.05,-0.03,0.07,-0.79,-3.72,38.87,-5.57,0.96,-1.79,3.59,-0.63,0.06
-1,0,3,-63,-361,3898,0.04,-0.03,0.08,-0.63,-3.61,38.98,-5.55,0.96,-1.80,3.56,-0.62,0.06
-1,0,3,-63,-363,3904,0.03,-0.02,0.09,-0.63,-3.63,39.04,-5.54,0.95,-1.80,3.53,-0.62,0.05
0,1,4,-54,-371,3894,0.03,-0.02,0.11,-0.54,-3.71,38.94,-5.53,0.94,-1.80,3.37,-0.74,0.05
