gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
1,-1,0,-60,-374,3955,0.06,-0.03,0.01,-0.60,-3.74,39.55,-5.38,0.86,0.33,-0.02,0.16,0.01
1,0,1,-53,-376,3966,0.06,-0.02,0.02,-0.53,-3.76,39.66,-5.39,0.84,0.33,-0.02,-0.09,-0.07
-1,0,1,-65,-379,3930,0.05,-0.02,0.02,-0.65,-3.79,39.30,-5.40,0.86,0.33,0.44,-0.08,-0.06
1,0,0,-67,-380,3950,0.05,-0.02,0.02,-0.67,-3.80,39.50,-5.41,0.87,0.33,-0.06,-0.07,0.02
-1,0,0,-77,-372,3943,0.04,-0.02,0.02,-0.77,-3.72,39.43,-5.41,0.89,0.33,0.40,-0.06,0.02
-1,2,0,-70,-357,3928,0.03,-0.00,0.02,-0.70,-3.57,39.28,-5.39,0.90,0.33,0.36,-0.52,0.02
-1,1,1,-67,-354,3934,0.02,0.00,0.02,-0.67,-3.54,39.34,-5.38,0.90,0.33,0.33,-0.24,-0.07
-1,1,1,-56,-364,3935,0.01,0.01,0.02,-0.56,-3.64,39.35,-5.36,0.89,0.33,0.30,-0.22,-0.06
0,1,0,-57,-377,3932,0.01,0.01,0.02,-0.57,-3.77,39.32,-5.38,0.88,0.33,0.04,-0.20,0.02
1,0,0,-56,-373,3929,0.02,0.01,0.02,-0.56,-3.73,39.29,-5.39,0.87,0.33,-0.19,0.05,0.02
3,-1,0,-60,-376,3934,0.03,0.01,0.02,-0.60,-3.76,39.34,-5.41,0.87,0.33,-0.64,0.28,0.02
3,0,1,-54,-378,3929,0.05,0.01,0.02,-0.54,-3.78,39.29,-5.42,0.85,0.33,-0.58,0.02,-0.06
4,-1,1,-53,-365,3928,0.07,-0.00,0.03,-0.53,-3.65,39.28,-5.41,0.84,0.33,-0.76,0.25,-0.06
6,-1,0,-54,-366,3939,0.10,-0.01,0.02,-0.54,-3.66,39.39,-5.39,0.83,0.33,-1.16,0.23,0.02
4,-3,1,-56,-357,3947,0.11,-0.03,0.03,-0.56,-3.57,39.47,-5.37,0.83,0.33,-0.60,0.67,-0.06
5,-2,1,-58,-361,3945,0.13,-0.03,0.03,-0.58,-3.61,39.45,-5.35,0.83,0.33,-0.78,0.38,-0.06
0,0,1,-67,-370,3951,0.12,-0.03,0.03,-0.67,-3.70,39.51,-5.35,0.85,0.32,0.44,-0.12,-0.05
0,2,0,-69,-387,3938,0.11,-0.02,0.03,-0.69,-3.87,39.38,-5.37,0.86,0.33,0.40,-0.57,0.03
0,0,0,-66,-388,3940,0.10,-0.01,0.03,-0.66,-3.88,39.40,-5.38,0.87,0.33,0.36,-0.05,0.03
-1,1,1,-58,-381,3950,0.08,-0.01,0.03,-0.58,-3.81,39.50,-5.40,0.86,0.33,0.56,-0.28,-0.06
-2,2,0,-49,-367,3937,0.06,0.01,0.03,-0.49,-3.67,39.37,-5.39,0.85,0.33,0.73,-0.49,0.03
-1,2,0,-51,-365,3946,0.05,0.02,0.02,-0.51,-3.65,39.46,-5.38,0.83,0.32,0.43,-0.44,0.02
-1,1,1,-61,-365,3944,0.04,0.02,0.03,-0.61,-3.65,39.44,-5.36,0.84,0.32,0.39,-0.17,-0.06
-1,1,2,-58,-361,3930,0.03,0.03,0.04,-0.58,-3.61,39.30,-5.35,0.84,0.32,0.36,-0.16,-0.13
0,0,1,-57,-367,3926,0.02,0.02,0.04,-0.57,-3.67,39.26,-5.34,0.82,0.32,0.09,0.09,-0.05
1,0,1,-65,-375,3931,0.03,0.02,0.04,-0.65,-3.75,39.31,-5.35,0.84,0.32,-0.15,0.08,-0.05
0,1,1,-66,-386,3943,0.03,0.02,0.04,-0.66,-3.86,39.43,-5.37,0.85,0.32,0.09,-0.16,-0.04
1,1,0,-57,-375,3942,0.03,0.03,0.04,-0.57,-3.75,39.42,-5.38,0.84,0.32,-0.15,-0.15,0.04
1,0,0,-60,-381,3927,0.03,0.03,0.04,-0.60,-3.81,39.27,-5.40,0.84,0.32,-0.13,0.10,0.03
0,1,0,-62,-382,3938,0.03,0.03,0.03,-0.62,-3.82,39.38,-5.42,0.85,0.32,0.11,-0.14,0.03
0,0,0,-50,-364,3939,0.03,0.03,0.03,-0.50,-3.64,39.39,-5.41,0.84,0.32,0.10,0.10,0.03
0,0,1,-52,-365,3939,0.02,0.02,0.03,-0.52,-3.65,39.39,-5.39,0.83,0.32,0.09,0.09,-0.05
0,1,0,-59,-362,3928,0.02,0.03,0.03,-0.59,-3.62,39.28,-5.37,0.83,0.32,0.08,-0.15,0.03
0,0,1,-60,-359,3930,0.02,0.02,0.03,-0.60,-3.59,39.30,-5.36,0.84,0.32,0.07,0.09,-0.05
