gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
5,7,-143,-70,-326,3960,0.05,-0.08,-13.20,-0.70,-3.26,39.60,-3.35,-1.54,103.39,2.09,0.90,-11.17
2,4,-172,-12,-345,3912,0.06,-0.05,-12.93,-0.12,-3.45,39.12,-3.36,-1.53,103.44,2.16,0.94,-8.43
3,-3,-140,27,-293,3913,0.07,-0.06,-12.49,0.27,-2.93,39.13,-3.37,-1.52,103.49,2.14,1.08,-10.68
2,-4,-135,-5,-322,3877,0.08,-0.08,-12.07,-0.05,-3.22,38.77,-3.38,-1.51,103.54,2.17,1.10,-10.66
0,-1,-95,-8,-280,3931,0.07,-0.08,-11.44,-0.08,-2.80,39.31,-3.38,-1.50,103.59,2.22,1.03,-13.39
0,0,-84,-45,-280,3917,0.06,-0.07,-10.81,-0.45,-2.80,39.17,-3.39,-1.48,103.63,2.22,1.00,-13.65
-1,5,-82,-50,-358,3943,0.05,-0.03,-10.23,-0.50,-3.58,39.43,-3.40,-1.47,103.67,2.25,0.88,-13.21
-2,3,-82,-24,-326,3957,0.03,-0.01,-9.70,-0.24,-3.26,39.57,-3.41,-1.46,103.71,2.28,0.91,-12.66
5,4,-87,-59,-303,3896,0.06,0.02,-9.26,-0.59,-3.03,38.96,-3.42,-1.45,103.75,2.14,0.87,-11.78
-1,-1,-105,5,-323,3926,0.05,0.01,-8.98,0.05,-3.23,39.26,-3.43,-1.43,103.78,2.27,0.97,-9.95
-3,-7,-106,5,-331,3923,0.02,-0.04,-8.73,0.05,-3.31,39.23,-3.44,-1.42,103.82,2.32,1.09,-9.60
10,4,-77,-59,-292,3902,0.08,-0.01,-8.32,-0.59,-2.92,39.02,-3.44,-1.41,103.85,2.05,0.85,-11.64
7,5,-71,-67,-335,3913,0.12,0.02,-7.93,-0.67,-3.35,39.13,-3.45,-1.40,103.88,2.10,0.81,-11.73
-2,-2,-80,-24,-346,3948,0.09,0.01,-7.62,-0.24,-3.46,39.48,-3.46,-1.38,103.91,2.30,0.95,-10.64
0,-4,-83,-37,-326,3909,0.08,-0.02,-7.36,-0.37,-3.26,39.09,-3.47,-1.37,103.94,2.27,0.99,-10.12
2,-2,-100,18,-284,3946,0.09,-0.03,-7.24,0.18,-2.84,39.46,-3.48,-1.36,103.97,2.23,0.94,-8.55
4,3,-107,-4,-284,3911,0.10,-0.01,-7.17,-0.04,-2.84,39.11,-3.49,-1.34,104.00,2.19,0.83,-7.88
-8,-5,-107,39,-229,3930,0.04,-0.04,-7.10,0.39,-2.29,39.30,-3.48,-1.32,104.03,2.45,0.99,-7.82
-3,-11,-65,40,-225,3918,0.02,-0.10,-6.79,0.40,-2.25,39.18,-3.48,-1.31,104.05,2.35,1.11,-11.05
-2,-13,-44,-59,-327,3942,0.01,-0.17,-6.38,-0.59,-3.27,39.42,-3.49,-1.30,104.08,2.34,1.17,-12.39
-3,-10,-44,-46,-311,3951,-0.01,-0.21,-6.01,-0.46,-3.11,39.51,-3.49,-1.28,104.10,2.37,1.11,-12.00
-2,0,-28,-40,-337,3929,-0.02,-0.19,-5.58,-0.40,-3.37,39.29,-3.51,-1.27,104.12,2.36,0.89,-12.91
-2,0,-28,-45,-340,3919,-0.03,-0.17,-5.19,-0.45,-3.40,39.19,-3.52,-1.26,104.14,2.37,0.88,-12.50
3,0,-40,-46,-298,3925,-0.01,-0.16,-4.92,-0.46,-2.98,39.25,-3.52,-1.24,104.16,2.27,0.86,-11.19
0,-1,-45,-27,-269,3913,-0.01,-0.15,-4.70,-0.27,-2.69,39.13,-3.53,-1.23,104.18,2.33,0.87,-10.54
0,0,-41,40,-299,3916,-0.01,-0.13,-4.48,0.40,-2.99,39.16,-3.54,-1.22,104.20,2.34,0.84,-10.65
1,-1,-35,28,-300,3915,-0.00,-0.12,-4.25,0.28,-3.00,39.15,-3.55,-1.20,104.22,2.33,0.85,-10.91
-4,-5,-36,-26,-278,3917,-0.03,-0.14,-4.04,-0.26,-2.78,39.17,-3.56,-1.19,104.23,2.44,0.93,-10.61
-2,-5,-35,-19,-293,3927,-0.04,-0.16,-3.85,-0.19,-2.93,39.27,-3.57,-1.17,104.25,2.40,0.92,-10.49
0,1,-44,-72,-309,3934,-0.03,-0.14,-3.73,-0.72,-3.09,39.34,-3.57,-1.16,104.26,2.37,0.78,-9.61
3,2,-45,-84,-301,3945,-0.01,-0.11,-3.63,-0.84,-3.01,39.45,-3.58,-1.14,104.28,2.30,0.74,-9.42
-6,8,-43,18,-320,3919,-0.05,-0.05,-3.53,0.18,-3.20,39.19,-3.59,-1.13,104.29,2.51,0.60,-9.48
-2,6,-36,66,-331,3930,-0.05,-0.01,-3.40,0.66,-3.31,39.30,-3.61,-1.13,104.30,2.44,0.63,-9.94
3,0,-12,75,-298,3924,-0.03,-0.01,-3.13,0.75,-2.98,39.24,-3.63,-1.13,104.32,2.34,0.75,-11.69
3,-2,-9,25,-316,3929,-0.01,-0.02,-2.87,0.25,-3.16,39.29,-3.64,-1.12,104.33,2.35,0.79,-11.67
2,0,-6,-27,-312,3917,0.00,-0.02,-2.62,-0.27,-3.12,39.17,-3.65,-1.10,104.34,2.37,0.73,-11.66
2,1,-5,-26,-307,3921,0.02,-0.01,-2.39,-0.26,-3.07,39.21,-3.66,-1.09,104.35,2.37,0.70,-11.50
0,3,-5,-15,-294,3914,0.01,0.01,-2.18,-0.15,-2.94,39.14,-3.67,-1.07,104.35,2.42,0.64,-11.28
-5,-2,-2,-37,-303,3905,-0.02,-0.00,-1.98,-0.37,-3.03,39.05,-3.68,-1.06,104.36,2.53,0.74,-11.32
0,-1,-23,-110,-329,3937,-0.02,-0.01,-1.92,-1.10,-3.29,39.37,-3.68,-1.04,104.37,2.44,0.71,-9.48
-3,-1,-34,-120,-300,3942,-0.03,-0.01,-1.94,-1.20,-3.00,39.42,-3.69,-1.02,104.38,2.50,0.70,-8.56
-2,0,-51,-44,-320,3933,-0.04,-0.01,-2.05,-0.44,-3.20,39.33,-3.70,-1.01,104.39,2.49,0.67,-7.25
-2,1,-46,2,-322,3925,-0.05,-0.01,-2.13,0.02,-3.22,39.25,-3.71,-1.00,104.39,2.50,0.64,-7.75
-1,0,-59,-137,-313,3912,-0.05,-0.01,-2.28,-1.37,-3.13,39.12,-3.72,-0.98,104.40,2.49,0.65,-6.81
-7,4,-67,-94,-282,3884,-0.09,0.02,-2.46,-0.94,-2.82,38.84,-3.72,-0.96,104.41,2.62,0.55,-6.32
-2,9,-48,-26,-293,3914,-0.09,0.07,-2.50,-0.26,-2.93,39.14,-3.73,-0.95,104.42,2.53,0.42,-7.98
-4,9,-55,-64,-269,3901,-0.11,0.12,-2.59,-0.64,-2.69,39.01,-3.73,-0.93,104.43,2.57,0.40,-7.48
0,5,-30,104,-312,3929,-0.10,0.14,-2.51,1.04,-3.12,39.29,-3.74,-0.94,104.44,2.50,0.48,-9.52
2,3,-23,82,-314,3913,-0.07,0.14,-2.40,0.82,-3.14,39.13,-3.76,-0.94,104.45,2.46,0.52,-10.00
0,4,-3,25,-300,3937,-0.07,0.15,-2.18,0.25,-3.00,39.37,-3.78,-0.93,104.46,2.51,0.49,-11.46
0,5,-1,-1,-315,3929,-0.06,0.17,-1.97,-0.01,-3.15,39.29,-3.79,-0.92,104.47,2.52,0.46,-11.40
4,8,-1,-25,-314,3914,-0.03,0.20,-1.78,-0.25,-3.14,39.14,-3.80,-0.90,104.48,2.43,0.38,-11.20
4,8,-1,-2,-325,3920,-0.00,0.23,-1.61,-0.02,-3.25,39.20,-3.81,-0.89,104.48,2.43,0.36,-11.02
3,3,0,-6,-322,3906,0.02,0.22,-1.45,-0.06,-3.22,39.06,-3.82,-0.87,104.49,2.46,0.45,-10.93
3,3,-1,-17,-311,3910,0.03,0.22,-1.31,-0.17,-3.11,39.10,-3.83,-0.86,104.49,2.46,0.44,-10.70
2,2,0,-19,-309,3929,0.04,0.21,-1.18,-0.19,-3.09,39.29,-3.84,-0.84,104.50,2.48,0.46,-10.65
0,2,0,-17,-312,3927,0.04,0.20,-1.06,-0.17,-3.12,39.27,-3.85,-0.82,104.50,2.53,0.45,-10.53
-3,0,3,-28,-309,3927,0.02,0.18,-0.93,-0.28,-3.09,39.27,-3.86,-0.81,104.50,2.60,0.48,-10.65
-2,1,2,-21,-310,3924,0.00,0.17,-0.83,-0.21,-3.10,39.24,-3.87,-0.79,104.51,2.59,0.46,-10.45
-1,0,1,-15,-315,3936,-0.00,0.15,-0.74,-0.15,-3.15,39.36,-3.88,-0.78,104.51,2.58,0.47,-10.27
0,-1,1,-20,-320,3935,-0.00,0.13,-0.66,-0.20,-3.20,39.35,-3.89,-0.76,104.51,2.57,0.49,-10.19
0,-1,-1,-35,-321,3923,-0.00,0.11,-0.60,-0.35,-3.21,39.23,-3.90,-0.75,104.52,2.57,0.48,-9.96
0,0,-2,-29,-328,3931,-0.00,0.10,-0.55,-0.29,-3.28,39.31,-3.91,-0.73,104.52,2.58,0.45,-9.82
