gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
3,3,-7,-6,-312,3925,0.07,0.19,-0.20,-0.06,-3.12,39.25,-4.66,0.17,104.02,3.00,-0.22,-8.98
3,8,11,14,-316,3927,0.08,0.22,-0.12,0.14,-3.16,39.27,-4.66,0.15,104.02,2.99,-0.32,-10.42
10,8,-8,-36,-287,3924,0.13,0.24,-0.15,-0.36,-2.87,39.24,-4.65,0.16,104.02,2.83,-0.34,-8.85
9,7,-10,-14,-312,3929,0.17,0.26,-0.20,-0.14,-3.12,39.29,-4.63,0.17,104.02,2.82,-0.33,-8.72
5,0,-11,-13,-298,3914,0.19,0.24,-0.25,-0.13,-2.98,39.14,-4.61,0.17,104.02,2.89,-0.18,-8.69
1,4,-9,43,-310,3881,0.17,0.24,-0.28,0.43,-3.10,38.81,-4.61,0.16,104.03,2.97,-0.25,-8.89
0,2,-5,-38,-308,3934,0.16,0.23,-0.28,-0.38,-3.08,39.34,-4.60,0.17,104.03,2.99,-0.22,-9.23
-1,2,-7,-37,-310,3939,0.14,0.22,-0.29,-0.37,-3.10,39.39,-4.60,0.19,104.03,3.02,-0.23,-9.08
0,2,-7,-26,-309,3927,0.12,0.21,-0.31,-0.26,-3.09,39.27,-4.59,0.21,104.03,2.99,-0.24,-9.09
1,-1,-3,-12,-319,3929,0.12,0.18,-0.29,-0.12,-3.19,39.29,-4.60,0.20,104.03,2.99,-0.16,-9.42
0,-2,-3,-13,-317,3922,0.10,0.15,-0.28,-0.13,-3.17,39.22,-4.62,0.19,104.03,3.02,-0.13,-9.41
0,-3,0,-14,-318,3925,0.09,0.12,-0.26,-0.14,-3.18,39.25,-4.63,0.20,104.03,3.03,-0.11,-9.63
-1,-4,0,-12,-323,3923,0.08,0.08,-0.23,-0.12,-3.23,39.23,-4.65,0.20,104.03,3.07,-0.07,-9.61
-5,-9,10,-20,-320,3912,0.04,0.02,-0.15,-0.20,-3.20,39.12,-4.65,0.21,104.03,3.16,0.04,-10.36
-5,-9,6,-21,-299,3932,0.01,-0.04,-0.09,-0.21,-2.99,39.32,-4.64,0.22,104.03,3.16,0.05,-9.97
-6,-10,10,-15,-322,3919,-0.03,-0.10,-0.02,-0.15,-3.22,39.19,-4.65,0.22,104.03,3.20,0.09,-10.24
-6,-10,12,-19,-319,3915,-0.07,-0.15,0.05,-0.19,-3.19,39.15,-4.66,0.24,104.03,3.21,0.09,-10.33
-4,-7,3,-23,-317,3931,-0.08,-0.18,0.06,-0.23,-3.17,39.31,-4.65,0.25,104.03,3.17,0.02,-9.55
-4,-5,1,-24,-324,3950,-0.10,-0.19,0.06,-0.24,-3.24,39.50,-4.66,0.27,104.03,3.18,-0.02,-9.38
-2,-6,2,-19,-317,3919,-0.10,-0.21,0.07,-0.19,-3.17,39.19,-4.64,0.27,104.03,3.13,-0.00,-9.46
-3,-7,2,-19,-330,3916,-0.11,-0.23,0.08,-0.19,-3.30,39.16,-4.66,0.27,104.03,3.16,0.03,-9.45
-3,-12,6,-11,-330,3932,-0.12,-0.28,0.10,-0.11,-3.30,39.32,-4.67,0.26,104.03,3.18,0.15,-9.76
-2,-12,6,-14,-328,3922,-0.12,-0.32,0.13,-0.14,-3.28,39.22,-4.69,0.25,104.03,3.17,0.17,-9.73
-1,-7,2,-12,-304,3913,-0.11,-0.33,0.13,-0.12,-3.04,39.13,-4.67,0.24,104.03,3.13,0.07,-9.39
-1,-7,0,-19,-318,3916,-0.11,-0.34,0.12,-0.19,-3.18,39.16,-4.66,0.26,104.03,3.13,0.07,-9.24
0,-7,-9,5,-313,3911,-0.10,-0.35,0.05,0.05,-3.13,39.11,-4.66,0.24,104.03,3.10,0.08,-8.55
0,-9,-9,-3,-313,3921,-0.09,-0.37,-0.01,-0.03,-3.13,39.21,-4.65,0.22,104.03,3.09,0.14,-8.61
0,-7,-8,-11,-311,3938,-0.08,-0.38,-0.06,-0.11,-3.11,39.38,-4.63,0.21,104.03,3.08,0.11,-8.75
0,-7,-3,-20,-339,3946,-0.07,-0.38,-0.07,-0.20,-3.39,39.46,-4.65,0.21,104.03,3.09,0.11,-9.18
-1,-4,4,-4,-310,3897,-0.07,-0.37,-0.04,-0.04,-3.10,38.97,-4.64,0.20,104.03,3.10,0.05,-9.74
-1,-3,4,-7,-313,3902,-0.07,-0.35,-0.01,-0.07,-3.13,39.02,-4.63,0.18,104.03,3.10,0.04,-9.71
-2,-7,5,12,-322,3911,-0.07,-0.36,0.02,0.12,-3.22,39.11,-4.64,0.16,104.03,3.12,0.13,-9.76
-4,-9,7,-2,-316,3919,-0.09,-0.38,0.06,-0.02,-3.16,39.19,-4.63,0.14,104.03,3.16,0.19,-9.89
-2,-7,8,-2,-315,3911,-0.09,-0.38,0.10,-0.02,-3.15,39.11,-4.63,0.12,104.03,3.12,0.17,-9.93
-1,-8,9,-9,-321,3922,-0.09,-0.39,0.15,-0.09,-3.21,39.22,-4.65,0.12,104.03,3.11,0.19,-9.97
-7,-16,35,33,-331,3941,-0.12,-0.45,0.35,0.33,-3.31,39.41,-4.65,0.10,104.03,3.25,0.38,-11.96
8,-1,42,57,-451,3857,-0.06,-0.41,0.57,0.57,-4.51,38.57,-4.67,0.09,104.02,2.94,0.07,-12.32
-8,3,130,142,-468,3915,-0.11,-0.35,1.30,1.42,-4.68,39.15,-4.68,0.08,104.02,3.28,-0.02,-18.99
-9,-1,192,173,-467,3902,-0.15,-0.32,2.35,1.73,-4.67,39.02,-4.69,0.07,104.01,3.32,0.07,-20.00
-2,-6,274,-24,-308,3928,-0.15,-0.33,3.78,-0.24,-3.08,39.28,-4.68,0.08,103.99,3.17,0.16,-20.00
-9,-10,272,-54,-271,3972,-0.19,-0.36,5.06,-0.54,-2.71,39.72,-4.67,0.09,103.97,3.32,0.24,-20.00
-8,-8,241,-8,-250,3890,-0.22,-0.37,6.03,-0.08,-2.50,38.90,-4.65,0.09,103.95,3.29,0.20,-20.00
-7,-12,234,-72,-247,3924,-0.24,-0.41,6.85,-0.72,-2.47,39.24,-4.64,0.11,103.92,3.27,0.28,-20.00
-2,-13,131,-158,-159,3879,-0.23,-0.44,6.97,-1.58,-1.59,38.79,-4.63,0.12,103.90,3.16,0.31,-13.07
-5,-13,99,-133,-198,3901,-0.23,-0.48,6.87,-1.33,-1.98,39.01,-4.62,0.13,103.87,3.21,0.31,-10.46
-1,-5,40,-64,-271,3918,-0.22,-0.46,6.43,-0.64,-2.71,39.18,-4.61,0.15,103.84,3.12,0.13,-5.93
0,-7,28,-52,-279,3940,-0.20,-0.46,5.96,-0.52,-2.79,39.40,-4.59,0.16,103.82,3.09,0.16,-5.41
5,-7,21,-17,-196,3866,-0.15,-0.45,5.49,-0.17,-1.96,38.66,-4.58,0.16,103.80,2.96,0.16,-5.31
2,-15,28,-33,-241,3923,-0.12,-0.50,5.11,-0.33,-2.41,39.23,-4.56,0.17,103.78,3.00,0.33,-6.30
-5,-7,15,-107,-99,3814,-0.14,-0.49,4.69,-1.07,-0.99,38.14,-4.54,0.17,103.76,3.14,0.16,-5.64
1,-6,15,-24,-114,3934,-0.12,-0.48,4.31,-0.24,-1.14,39.34,-4.53,0.18,103.74,3.00,0.14,-6.04
8,4,-66,-2,-263,3963,-0.06,-0.41,3.48,-0.02,-2.63,39.63,-4.51,0.17,103.72,2.83,-0.08,-0.06
4,22,-64,-10,-154,4069,-0.03,-0.23,2.74,-0.10,-1.54,40.69,-4.49,0.17,103.71,2.89,-0.50,-1.01
22,18,-5,-48,-300,3887,0.11,-0.10,2.44,-0.48,-3.00,38.87,-4.49,0.19,103.70,2.48,-0.46,-6.33
6,20,-15,-60,-422,3893,0.14,0.03,2.10,-0.60,-4.22,38.93,-4.50,0.20,103.70,2.81,-0.55,-5.84
11,5,-32,-10,-410,3963,0.19,0.06,1.70,-0.10,-4.10,39.63,-4.52,0.20,103.69,2.71,-0.25,-4.82
8,-8,-24,5,-578,3912,0.22,0.00,1.38,0.05,-5.78,39.12,-4.54,0.20,103.68,2.77,0.03,-5.84
-2,-5,13,99,-419,3911,0.18,-0.03,1.32,0.99,-4.19,39.11,-4.55,0.18,103.68,2.99,-0.01,-9.03
