gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
-1,1,-6,-55,-368,3947,-0.03,0.05,-0.34,-0.55,-3.68,39.47,-5.36,0.81,53.08,1.51,-0.30,-4.65
2,1,-4,-69,-371,3910,-0.01,0.05,-0.33,-0.69,-3.71,39.10,-5.36,0.83,53.08,0.81,-0.30,-4.81
1,3,-3,-48,-369,3921,-0.00,0.07,-0.31,-0.48,-3.69,39.21,-5.37,0.81,53.08,1.09,-0.75,-4.88
-1,2,-5,-14,-353,3962,-0.01,0.07,-0.31,-0.14,-3.53,39.62,-5.36,0.79,53.08,1.57,-0.47,-4.71
-2,3,-5,-74,-367,3940,-0.02,0.08,-0.31,-0.74,-3.67,39.40,-5.36,0.81,53.08,1.78,-0.69,-4.71
-3,5,-5,-71,-364,3962,-0.04,0.11,-0.31,-0.71,-3.64,39.62,-5.35,0.83,53.09,1.98,-1.12,-4.71
-3,3,-4,-85,-373,3948,-0.05,0.11,-0.30,-0.85,-3.73,39.48,-5.35,0.84,53.09,1.92,-0.59,-4.79
-3,4,-5,-71,-375,3942,-0.07,0.13,-0.30,-0.71,-3.75,39.42,-5.36,0.86,53.09,1.87,-0.80,-4.70
-2,4,-5,-68,-368,3955,-0.07,0.14,-0.30,-0.68,-3.68,39.55,-5.35,0.88,53.09,1.60,-0.76,-4.70
0,2,-4,-49,-366,3935,-0.06,0.14,-0.30,-0.49,-3.66,39.35,-5.35,0.86,53.09,1.11,-0.25,-4.78
2,1,-5,-31,-384,3921,-0.05,0.13,-0.30,-0.31,-3.84,39.21,-5.36,0.85,53.09,0.68,-0.02,-4.70
4,-1,-5,-19,-382,3940,-0.02,0.11,-0.30,-0.19,-3.82,39.40,-5.36,0.83,53.09,0.28,0.42,-4.70
2,-2,-6,-36,-370,3931,-0.00,0.09,-0.31,-0.36,-3.70,39.31,-5.37,0.81,53.09,0.84,0.59,-4.62
3,-1,-5,-55,-357,3941,0.02,0.07,-0.31,-0.55,-3.57,39.41,-5.35,0.81,53.10,0.65,0.28,-4.71
5,0,-5,-57,-353,3926,0.05,0.06,-0.31,-0.57,-3.53,39.26,-5.33,0.81,53.10,0.25,-0.00,-4.71
4,0,-5,-59,-359,3955,0.06,0.06,-0.31,-0.59,-3.59,39.55,-5.31,0.82,53.10,0.57,-0.03,-4.71
0,1,-4,-60,-365,3961,0.06,0.06,-0.30,-0.60,-3.65,39.61,-5.30,0.83,53.10,1.56,-0.28,-4.78
-2,2,-5,-84,-380,3950,0.04,0.07,-0.30,-0.84,-3.80,39.50,-5.31,0.85,53.10,2.00,-0.52,-4.70
-2,3,-5,-87,-389,3957,0.02,0.08,-0.30,-0.87,-3.89,39.57,-5.32,0.86,53.10,1.95,-0.73,-4.70
-3,3,-5,-58,-384,3943,0.00,0.09,-0.30,-0.58,-3.84,39.43,-5.34,0.86,53.10,2.13,-0.69,-4.70
-4,3,-5,-46,-374,3929,-0.02,0.10,-0.30,-0.46,-3.74,39.29,-5.34,0.84,53.10,2.29,-0.65,-4.70
-2,1,-5,-46,-370,3931,-0.03,0.09,-0.30,-0.46,-3.70,39.31,-5.35,0.83,53.11,1.74,-0.15,-4.70
-2,1,-5,-52,-362,3935,-0.04,0.09,-0.30,-0.52,-3.62,39.35,-5.33,0.81,53.11,1.71,-0.16,-4.70
-1,0,-4,-48,-360,3942,-0.04,0.08,-0.30,-0.48,-3.60,39.42,-5.32,0.80,53.11,1.44,0.06,-4.78
0,0,-5,-39,-366,3932,-0.04,0.07,-0.30,-0.39,-3.66,39.32,-5.32,0.78,53.11,1.20,0.04,-4.70
1,0,-4,-49,-376,3924,-0.03,0.07,-0.29,-0.49,-3.76,39.24,-5.34,0.78,53.11,0.99,0.01,-4.78
2,0,-5,-58,-378,3929,-0.01,0.06,-0.29,-0.58,-3.78,39.29,-5.35,0.78,53.11,0.80,-0.02,-4.70
2,-1,-5,-69,-391,3940,0.00,0.05,-0.29,-0.69,-3.91,39.40,-5.37,0.79,53.11,0.85,0.19,-4.70
0,0,-5,-71,-389,3940,0.00,0.04,-0.30,-0.71,-3.89,39.40,-5.38,0.81,53.11,1.36,-0.08,-4.70
-1,-1,-5,-57,-377,3935,-0.01,0.03,-0.30,-0.57,-3.77,39.35,-5.40,0.81,53.12,1.60,0.13,-4.70
0,0,-5,-55,-368,3934,-0.01,0.03,-0.30,-0.55,-3.68,39.34,-5.38,0.81,53.12,1.34,-0.14,-4.70
0,0,-6,-43,-360,3934,-0.00,0.03,-0.30,-0.43,-3.60,39.34,-5.37,0.79,53.12,1.34,-0.14,-4.62
0,0,-6,-41,-364,3933,-0.00,0.02,-0.31,-0.41,-3.64,39.33,-5.36,0.78,53.12,1.34,-0.15,-4.63
0,0,-4,-41,-365,3936,-0.00,0.02,-0.30,-0.41,-3.65,39.36,-5.36,0.76,53.12,1.34,-0.15,-4.79
1,0,-4,-40,-368,3936,0.00,0.02,-0.30,-0.40,-3.68,39.36,-5.36,0.74,53.12,1.11,-0.16,-4.78
1,1,-5,-51,-374,3920,0.01,0.02,-0.30,-0.51,-3.74,39.20,-5.37,0.74,53.12,1.14,-0.40,-4.70
1,1,-5,-59,-371,3926,0.01,0.03,-0.30,-0.59,-3.71,39.26,-5.38,0.76,53.12,1.16,-0.39,-4.70
1,0,-5,-61,-372,3937,0.02,0.02,-0.30,-0.61,-3.72,39.37,-5.38,0.78,53.13,1.18,-0.15,-4.70
1,0,-5,-62,-375,3941,0.02,0.02,-0.30,-0.62,-3.75,39.41,-5.39,0.79,53.13,1.19,-0.16,-4.70
1,-1,-6,-52,-372,3935,0.03,0.01,-0.31,-0.52,-3.72,39.35,-5.39,0.78,53.13,1.21,0.07,-4.62
1,0,-5,-52,-367,3939,0.03,0.01,-0.31,-0.52,-3.67,39.39,-5.38,0.77,53.13,1.22,-0.19,-4.71
0,1,-4,-54,-369,3937,0.03,0.02,-0.30,-0.54,-3.69,39.37,-5.36,0.78,53.13,1.46,-0.43,-4.79
0,0,-5,-54,-365,3939,0.02,0.02,-0.30,-0.54,-3.65,39.39,-5.34,0.78,53.13,1.44,-0.18,-4.70
-1,0,-5,-58,-353,3948,0.02,0.01,-0.30,-0.58,-3.53,39.48,-5.32,0.78,53.13,1.66,-0.19,-4.70
0,0,-5,-59,-361,3936,0.01,0.01,-0.30,-0.59,-3.61,39.36,-5.31,0.80,53.13,1.40,-0.20,-4.70
-1,2,-5,-54,-370,3932,0.01,0.02,-0.30,-0.54,-3.70,39.32,-5.33,0.79,53.13,1.63,-0.66,-4.70
-2,1,-5,-51,-372,3927,-0.01,0.03,-0.30,-0.51,-3.72,39.27,-5.34,0.78,53.14,1.84,-0.39,-4.71
-2,1,-5,-63,-367,3929,-0.02,0.03,-0.30,-0.63,-3.67,39.29,-5.34,0.80,53.14,1.79,-0.38,-4.71
