gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
-4,-9,-56,-34,-361,3958,-0.34,-0.53,-8.48,-0.34,-3.61,39.58,-3.51,-1.19,112.42,2.49,1.11,-10.46
-1,-5,-47,-103,-298,3924,-0.31,-0.51,-7.92,-1.03,-2.98,39.24,-3.52,-1.18,112.45,2.43,1.02,-10.71
6,3,-75,-120,-283,3977,-0.24,-0.44,-7.58,-1.20,-2.83,39.77,-3.52,-1.16,112.48,2.27,0.83,-10.58
-2,12,-82,-43,-274,3916,-0.23,-0.32,-7.32,-0.43,-2.74,39.16,-3.53,-1.15,112.51,2.43,0.60,-10.60
7,7,-71,41,-288,3912,-0.16,-0.25,-7.03,0.41,-2.88,39.12,-3.54,-1.14,112.54,2.24,0.68,-10.79
7,6,-66,62,-269,3913,-0.11,-0.19,-6.73,0.62,-2.69,39.13,-3.56,-1.13,112.57,2.24,0.68,-10.92
6,11,-93,72,-328,3956,-0.06,-0.10,-6.62,0.72,-3.28,39.56,-3.58,-1.13,112.59,2.25,0.55,-10.73
7,20,-119,0,-339,3928,-0.01,0.03,-6.68,0.00,-3.39,39.28,-3.59,-1.12,112.62,2.23,0.33,-10.49
3,9,-149,21,-294,3901,0.01,0.08,-6.92,0.21,-2.94,39.01,-3.60,-1.11,112.65,2.31,0.53,-10.17
7,9,-125,44,-328,3903,0.05,0.13,-6.99,0.44,-3.28,39.03,-3.62,-1.11,112.68,2.23,0.51,-10.36
-7,-6,-67,22,-337,3911,0.00,0.08,-6.70,0.22,-3.37,39.11,-3.63,-1.10,112.70,2.54,0.82,-10.94
-7,-9,-67,17,-324,3916,-0.04,0.02,-6.44,0.17,-3.24,39.16,-3.65,-1.09,112.73,2.56,0.90,-11.02
-7,-12,-67,37,-336,3907,-0.08,-0.06,-6.21,0.37,-3.36,39.07,-3.66,-1.08,112.75,2.58,0.97,-11.09
-9,-9,-38,40,-308,3907,-0.13,-0.11,-5.82,0.40,-3.08,39.07,-3.68,-1.07,112.78,2.65,0.92,-11.46
-10,-8,-33,-5,-314,3921,-0.17,-0.14,-5.44,-0.05,-3.14,39.21,-3.69,-1.06,112.80,2.69,0.90,-11.62
-1,-4,-75,-142,-327,3933,-0.16,-0.15,-5.35,-1.42,-3.27,39.33,-3.70,-1.05,112.82,2.51,0.81,-11.29
3,1,-106,-158,-298,3957,-0.13,-0.13,-5.46,-1.58,-2.98,39.57,-3.70,-1.03,112.84,2.42,0.70,-11.00
11,17,-180,-88,-301,3901,-0.05,-0.02,-6.01,-0.88,-3.01,39.01,-3.71,-1.01,112.86,2.24,0.33,-10.21
6,16,-188,-63,-307,3900,-0.01,0.08,-6.56,-0.63,-3.07,39.00,-3.71,-1.00,112.89,2.33,0.31,-9.98
