gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
3,1,-40,-16,-452,3927,0.06,0.11,-2.72,-0.16,-4.52,39.27,-4.40,-0.35,90.64,2.83,0.18,-2.43
0,2,-19,-48,-343,3910,0.05,0.11,-2.56,-0.48,-3.43,39.10,-4.41,-0.33,90.65,2.89,0.15,-2.48
-4,2,-9,7,-308,3857,0.02,0.11,-2.36,0.07,-3.08,38.57,-4.42,-0.32,90.66,2.99,0.14,-2.51
-1,0,-9,6,-288,3898,0.01,0.10,-2.18,0.06,-2.88,38.98,-4.41,-0.30,90.67,2.92,0.17,-2.53
1,-4,-32,20,-216,3932,0.02,0.07,-2.16,0.20,-2.16,39.32,-4.39,-0.30,90.68,2.87,0.26,-2.49
1,-3,-57,12,-200,3935,0.02,0.04,-2.29,0.12,-2.00,39.35,-4.37,-0.30,90.69,2.86,0.25,-2.44
-1,-4,-80,14,-381,3945,0.02,0.01,-2.55,0.14,-3.81,39.45,-4.39,-0.30,90.70,2.91,0.28,-2.38
-2,-7,-70,39,-373,3945,0.00,-0.03,-2.72,0.39,-3.73,39.45,-4.40,-0.31,90.71,2.95,0.35,-2.38
-4,-6,-37,-92,-404,3940,-0.02,-0.06,-2.67,-0.92,-4.04,39.40,-4.42,-0.30,90.72,3.00,0.33,-2.44
-6,-4,-24,-64,-374,3943,-0.06,-0.08,-2.55,-0.64,-3.74,39.43,-4.43,-0.28,90.73,3.06,0.29,-2.47
-7,-4,-11,-28,-335,3933,-0.09,-0.10,-2.36,-0.28,-3.35,39.33,-4.44,-0.27,90.74,3.10,0.28,-2.51
-8,-9,-10,-42,-418,3933,-0.13,-0.14,-2.19,-0.42,-4.18,39.33,-4.46,-0.26,90.75,3.14,0.39,-2.53
-2,12,-14,-176,-451,4114,-0.13,-0.06,-2.06,-1.76,-4.51,41.14,-4.47,-0.25,90.76,3.02,-0.07,-2.53
-4,-10,-29,-30,-329,3878,-0.14,-0.11,-2.03,-0.30,-3.29,38.78,-4.48,-0.23,90.77,3.07,0.39,-2.51
-2,-10,-28,-36,-306,3921,-0.14,-0.16,-1.99,-0.36,-3.06,39.21,-4.48,-0.21,90.77,3.03,0.39,-2.51
-1,-6,-29,-26,-373,3924,-0.13,-0.18,-1.97,-0.26,-3.73,39.24,-4.49,-0.21,90.78,3.02,0.31,-2.51
0,-9,-25,-31,-400,3915,-0.12,-0.22,-1.93,-0.31,-4.00,39.15,-4.51,-0.20,90.79,3.01,0.37,-2.52
-5,-13,0,-66,-393,3936,-0.14,-0.28,-1.73,-0.66,-3.93,39.36,-4.52,-0.19,90.80,3.12,0.46,-2.58
-4,-10,11,-38,-385,3902,-0.15,-0.31,-1.49,-0.38,-3.85,39.02,-4.54,-0.18,90.80,3.12,0.41,-2.62
3,14,-25,-75,-502,3861,-0.12,-0.19,-1.50,-0.75,-5.02,38.61,-4.56,-0.17,90.81,2.98,-0.12,-2.56
-3,-6,-46,-39,-320,3990,-0.12,-0.21,-1.63,-0.39,-3.20,39.90,-4.56,-0.16,90.81,3.10,0.28,-2.51
0,-5,-7,1,-313,3877,-0.11,-0.22,-1.51,0.01,-3.13,38.77,-4.56,-0.14,90.82,3.04,0.25,-2.59
-2,-3,-5,-19,-289,3887,-0.11,-0.22,-1.39,-0.19,-2.89,38.87,-4.55,-0.13,90.83,3.08,0.20,-2.60
7,-5,-26,2,-230,3939,-0.06,-0.22,-1.41,0.02,-2.30,39.39,-4.54,-0.13,90.83,2.87,0.25,-2.57
-1,-2,-23,13,-271,3934,-0.06,-0.21,-1.41,0.13,-2.71,39.34,-4.52,-0.13,90.84,3.02,0.19,-2.57
-9,-6,-52,-15,-334,3931,-0.11,-0.23,-1.58,-0.15,-3.34,39.31,-4.53,-0.12,90.84,3.20,0.26,-2.51
-3,-6,-49,-18,-352,3953,-0.11,-0.24,-1.72,-0.18,-3.52,39.53,-4.55,-0.11,90.85,3.09,0.26,-2.50
-2,2,24,-56,-355,3958,-0.12,-0.21,-1.41,-0.56,-3.55,39.58,-4.56,-0.10,90.86,3.08,0.08,-2.65
