gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
0,19,-1,-68,-384,3904,0.12,0.24,0.20,-0.68,-3.84,39.04,-5.67,0.99,0.65,2.77,-0.86,-0.11
0,28,-1,-77,-386,3912,0.11,0.39,0.17,-0.77,-3.86,39.12,-5.67,1.01,0.65,2.77,-1.05,-0.10
2,40,-2,-40,-388,3882,0.11,0.60,0.14,-0.40,-3.88,38.82,-5.67,1.00,0.65,2.74,-1.29,-0.09
1,33,-2,-74,-374,3948,0.10,0.74,0.11,-0.74,-3.74,39.48,-5.65,1.01,0.65,2.75,-1.23,-0.08
1,10,-3,-65,-383,3914,0.10,0.72,0.08,-0.65,-3.83,39.14,-5.64,1.00,0.65,2.74,-0.87,-0.06
3,8,-5,-57,-390,3911,0.11,0.70,0.05,-0.57,-3.90,39.11,-5.64,0.98,0.65,2.71,-0.82,-0.04
3,26,-9,-76,-392,3902,0.12,0.79,-0.01,-0.76,-3.92,39.02,-5.65,1.00,0.65,2.72,-1.13,0.01
4,30,-8,-85,-378,3900,0.13,0.89,-0.06,-0.85,-3.78,39.00,-5.64,1.02,0.65,2.69,-1.24,0.01
6,15,-4,-95,-384,3915,0.15,0.90,-0.08,-0.95,-3.84,39.15,-5.64,1.04,0.65,2.65,-1.02,-0.01
4,9,-2,-84,-392,3912,0.16,0.86,-0.08,-0.84,-3.92,39.12,-5.65,1.06,0.65,2.69,-0.93,-0.03
4,4,-2,-83,-386,3907,0.17,0.80,-0.09,-0.83,-3.86,39.07,-5.65,1.08,0.65,2.68,-0.84,-0.03
4,4,-1,-81,-385,3900,0.18,0.74,-0.08,-0.81,-3.85,39.00,-5.64,1.10,0.65,2.68,-0.83,-0.04
1,2,0,-81,-392,3922,0.17,0.68,-0.08,-0.81,-3.92,39.22,-5.66,1.12,0.65,2.73,-0.79,-0.05
1,3,-1,-83,-388,3919,0.16,0.63,-0.07,-0.83,-3.88,39.19,-5.65,1.14,0.65,2.74,-0.80,-0.04
0,-1,-1,-66,-385,3911,0.14,0.56,-0.07,-0.66,-3.85,39.11,-5.65,1.13,0.65,2.75,-0.71,-0.04
0,0,-1,-78,-389,3913,0.13,0.51,-0.07,-0.78,-3.89,39.13,-5.67,1.13,0.66,2.77,-0.72,-0.04
-2,1,3,-82,-383,3921,0.10,0.46,-0.05,-0.82,-3.83,39.21,-5.65,1.15,0.66,2.80,-0.72,-0.08
-3,1,3,-75,-374,3911,0.07,0.42,-0.02,-0.75,-3.74,39.11,-5.63,1.14,0.66,2.81,-0.71,-0.09
-3,0,-2,-76,-384,3917,0.05,0.38,-0.03,-0.76,-3.84,39.17,-5.62,1.13,0.66,2.81,-0.68,-0.04
-3,0,-2,-73,-382,3906,0.02,0.34,-0.04,-0.73,-3.82,39.06,-5.61,1.12,0.66,2.82,-0.66,-0.04
3,2,-1,-59,-400,3892,0.04,0.32,-0.04,-0.59,-4.00,38.92,-5.63,1.10,0.66,2.73,-0.68,-0.05
1,2,0,-69,-392,3903,0.04,0.30,-0.04,-0.69,-3.92,39.03,-5.64,1.09,0.66,2.76,-0.66,-0.06
-1,-3,-27,-193,-300,3897,0.03,0.25,-0.20,-1.93,-3.00,38.97,-5.63,1.11,0.66,2.79,-0.58,0.21
1,0,-62,-195,-285,3937,0.03,0.23,-0.56,-1.95,-2.85,39.37,-5.62,1.12,0.66,2.75,-0.63,0.59
-1,-4,-87,-44,-386,3942,0.03,0.18,-1.03,-0.44,-3.86,39.42,-5.61,1.11,0.66,2.79,-0.54,0.92
-8,-10,-73,-21,-432,3911,-0.03,0.10,-1.38,-0.21,-4.32,39.11,-5.63,1.09,0.67,2.92,-0.42,0.89
-2,-12,-46,-94,-411,3918,-0.04,0.02,-1.52,-0.94,-4.11,39.18,-5.64,1.10,0.68,2.83,-0.37,0.69
-2,-13,-49,-117,-399,3912,-0.04,-0.06,-1.67,-1.17,-3.99,39.12,-5.65,1.12,0.68,2.84,-0.34,0.75
-1,-30,-72,-127,-366,3907,-0.05,-0.24,-1.94,-1.27,-3.66,39.07,-5.64,1.13,0.69,2.82,-0.03,1.01
0,-30,-82,-123,-375,3892,-0.04,-0.40,-2.24,-1.23,-3.75,38.92,-5.64,1.15,0.70,2.80,0.01,1.17
-1,-28,-93,-37,-368,3871,-0.04,-0.53,-2.59,-0.37,-3.68,38.71,-5.63,1.13,0.71,2.82,0.03,1.35
1,-24,-96,-35,-370,3908,-0.03,-0.62,-2.91,-0.35,-3.70,39.08,-5.63,1.11,0.72,2.78,0.01,1.45
-2,-10,-100,-85,-367,3887,-0.04,-0.62,-3.23,-0.85,-3.67,38.87,-5.61,1.11,0.73,2.82,-0.21,1.57
-1,-8,-115,-116,-325,3911,-0.04,-0.61,-3.61,-1.16,-3.25,39.11,-5.60,1.12,0.75,2.80,-0.25,1.78
3,-9,-147,-106,-359,3906,-0.02,-0.60,-4.15,-1.06,-3.59,39.06,-5.59,1.13,0.76,2.73,-0.24,2.19
2,-13,-145,-91,-350,3883,-0.01,-0.62,-4.62,-0.91,-3.50,38.83,-5.57,1.13,0.78,2.73,-0.17,2.28
10,0,-170,-62,-432,3934,0.05,-0.56,-5.19,-0.62,-4.32,39.34,-5.59,1.12,0.80,2.60,-0.39,2.63
11,-2,-169,-44,-419,3897,0.12,-0.52,-5.70,-0.44,-4.19,38.97,-5.60,1.11,0.82,2.57,-0.36,2.75
-5,-7,-143,-10,-429,3925,0.07,-0.51,-6.01,-0.10,-4.29,39.25,-5.61,1.09,0.85,2.83,-0.28,2.60
6,0,-139,-7,-422,3900,0.10,-0.46,-6.25,-0.07,-4.22,39.00,-5.62,1.07,0.87,2.66,-0.39,2.62
-1,-3,-150,-53,-443,3892,0.09,-0.43,-6.54,-0.53,-4.43,38.92,-5.64,1.06,0.90,2.78,-0.35,2.79
2,-2,-153,-70,-444,3904,0.09,-0.40,-6.82,-0.70,-4.44,39.04,-5.66,1.05,0.93,2.74,-0.37,2.88
6,-2,-151,-59,-415,3879,0.12,-0.37,-7.06,-0.59,-4.15,38.79,-5.67,1.04,0.95,2.68,-0.37,2.92
5,8,-149,-63,-423,3864,0.14,-0.28,-7.26,-0.63,-4.23,38.64,-5.69,1.03,0.98,2.70,-0.55,2.95
0,37,-155,-109,-448,3883,0.12,-0.03,-7.48,-1.09,-4.48,38.83,-5.71,1.04,1.01,2.79,-1.07,3.05
5,56,-150,-124,-453,3870,0.14,0.31,-7.65,-1.24,-4.53,38.70,-5.72,1.05,1.04,2.71,-1.47,3.04
10,26,-146,-81,-443,3950,0.19,0.44,-7.77,-0.81,-4.43,39.50,-5.74,1.05,1.08,2.63,-1.05,3.04
3,18,-139,-66,-441,3920,0.19,0.51,-7.85,-0.66,-4.41,39.20,-5.76,1.05,1.11,2.75,-0.95,2.99
5,7,-125,-63,-407,3946,0.20,0.50,-7.82,-0.63,-4.07,39.46,-5.77,1.03,1.14,2.72,-0.77,2.86
6,7,-130,-40,-369,3902,0.22,0.49,-7.83,-0.40,-3.69,39.02,-5.76,1.02,1.17,2.69,-0.76,2.91
-2,-4,-146,-145,-294,3938,0.18,0.42,-7.94,-1.45,-2.94,39.38,-5.74,1.03,1.20,2.82,-0.58,3.07
-1,-6,-150,-158,-284,3912,0.16,0.34,-8.06,-1.58,-2.84,39.12,-5.73,1.04,1.23,2.80,-0.53,3.13
2,-4,-212,-214,-221,3839,0.15,0.28,-8.55,-2.14,-2.21,38.39,-5.71,1.05,1.27,2.75,-0.54,3.77
-2,-22,-247,-201,-255,3929,0.13,0.12,-9.20,-2.01,-2.55,39.29,-5.70,1.06,1.30,2.81,-0.22,4.22
1,-56,-384,-102,-263,4070,0.12,-0.23,-10.62,-1.02,-2.63,40.70,-5.68,1.06,1.35,2.76,0.40,5.73
4,-83,-431,-66,-418,3879,0.13,-0.72,-12.19,-0.66,-4.18,38.79,-5.70,1.04,1.39,2.72,0.97,6.51
-1,-61,-514,-22,-506,3892,0.11,-1.02,-14.11,-0.22,-5.06,38.92,-5.72,1.03,1.45,2.81,0.73,7.67
9,-56,-532,21,-473,3908,0.16,-1.26,-15.94,0.21,-4.73,39.08,-5.73,1.00,1.51,2.65,0.74,8.27
-4,-32,-534,37,-438,3891,0.12,-1.33,-17.60,0.37,-4.38,38.91,-5.74,0.97,1.58,2.87,0.41,8.69
-9,-32,-519,-12,-470,3846,0.05,-1.39,-19.01,-0.12,-4.70,38.46,-5.76,0.95,1.66,2.97,0.44,8.90
1,-23,-483,21,-395,3893,0.05,-1.39,-20.06,0.21,-3.95,38.93,-5.76,0.92,1.74,2.82,0.32,8.85
14,-16,-473,14,-399,3872,0.13,-1.35,-20.93,0.14,-3.99,38.72,-5.76,0.89,1.82,2.60,0.22,8.97
14,-10,-438,-37,-300,3886,0.20,-1.28,-21.51,-0.37,-3.00,38.86,-5.74,0.87,1.91,2.57,0.11,8.81
17,-2,-427,-39,-280,3908,0.29,-1.16,-21.97,-0.39,-2.80,39.08,-5.72,0.85,1.99,2.49,-0.04,8.81
10,1,-409,-62,-283,3953,0.32,-1.04,-22.26,-0.62,-2.83,39.53,-5.71,0.84,2.08,2.57,-0.11,8.73
14,-2,-419,-31,-343,3940,0.37,-0.95,-22.59,-0.31,-3.43,39.40,-5.69,0.82,2.17,2.49,-0.09,8.88
5,-11,-456,-22,-385,3919,0.37,-0.92,-23.12,-0.22,-3.85,39.19,-5.69,0.79,2.26,2.63,0.06,9.32
3,-11,-464,-52,-382,3907,0.35,-0.89,-23.64,-0.52,-3.82,39.07,-5.67,0.77,2.35,2.65,0.06,9.50
12,-12,-459,-53,-447,3925,0.39,-0.88,-24.07,-0.53,-4.47,39.25,-5.69,0.76,2.45,2.51,0.08,9.56
4,-12,-447,-17,-453,3895,0.37,-0.86,-24.39,-0.17,-4.53,38.95,-5.70,0.73,2.55,2.65,0.08,9.52
8,-18,-411,-57,-491,3906,0.38,-0.89,-24.46,-0.57,-4.91,39.06,-5.72,0.72,2.64,2.59,0.19,9.22
6,-11,-401,-25,-468,3905,0.38,-0.87,-24.46,-0.25,-4.68,39.05,-5.74,0.70,2.74,2.63,0.08,9.13
2,-15,-390,-79,-514,3899,0.36,-0.87,-24.39,-0.79,-5.14,38.99,-5.76,0.69,2.84,2.71,0.15,9.01
1,-15,-395,-82,-481,3933,0.33,-0.87,-24.36,-0.82,-4.81,39.33,-5.77,0.69,2.94,2.74,0.16,9.03
1,-10,-386,-88,-394,3913,0.30,-0.85,-24.28,-0.88,-3.94,39.13,-5.77,0.69,3.03,2.75,0.07,8.93
1,-14,-397,-146,-399,3917,0.28,-0.85,-24.27,-1.46,-3.99,39.17,-5.77,0.70,3.13,2.76,0.13,9.01
6,-10,-409,-127,-336,3876,0.28,-0.82,-24.34,-1.27,-3.36,38.76,-5.76,0.70,3.22,2.67,0.06,9.12
12,-9,-411,-142,-352,3893,0.33,-0.80,-24.41,-1.42,-3.52,38.93,-5.75,0.70,3.32,2.56,0.03,9.14
6,-5,-405,-141,-429,3898,0.33,-0.75,-24.44,-1.41,-4.29,38.98,-5.76,0.71,3.42,2.66,-0.05,9.09
14,-5,-404,-93,-402,3942,0.39,-0.70,-24.46,-0.93,-4.02,39.42,-5.76,0.71,3.52,2.52,-0.06,9.07
18,-14,-407,-29,-374,3978,0.46,-0.72,-24.50,-0.29,-3.74,39.78,-5.75,0.69,3.61,2.43,0.09,9.10
13,-16,-410,24,-332,3922,0.49,-0.74,-24.55,0.24,-3.32,39.22,-5.73,0.66,3.71,2.49,0.14,9.13
2,-14,-441,-53,-345,3854,0.45,-0.76,-24.79,-0.53,-3.45,38.54,-5.72,0.65,3.81,2.66,0.12,9.44
3,-9,-454,-86,-379,3875,0.43,-0.73,-25.08,-0.86,-3.79,38.75,-5.71,0.66,3.91,2.65,0.04,9.61
10,-16,-495,45,-398,3910,0.44,-0.76,-25.59,0.45,-3.98,39.10,-5.71,0.63,4.01,2.54,0.16,10.07
-2,-18,-507,-13,-383,3898,0.39,-0.79,-26.12,-0.13,-3.83,38.98,-5.71,0.60,4.11,2.74,0.22,10.29
3,-19,-552,-58,-274,3933,0.37,-0.83,-26.88,-0.58,-2.74,39.33,-5.69,0.59,4.22,2.66,0.25,10.85
15,-12,-563,-105,-290,3893,0.42,-0.82,-27.62,-1.05,-2.90,38.93,-5.67,0.58,4.33,2.45,0.15,11.11
