gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
0,0,1,-51,-435,3914,0.01,0.00,0.04,-0.51,-4.35,39.14,-6.34,0.75,8.89,4.18,-0.50,-0.84
0,-1,0,-58,-426,3903,0.01,-0.00,0.04,-0.58,-4.26,39.03,-6.33,0.76,8.89,4.17,-0.48,-0.76
0,0,0,-53,-423,3909,0.01,-0.00,0.03,-0.53,-4.23,39.09,-6.31,0.76,8.89,4.16,-0.50,-0.77
0,1,1,-47,-421,3912,0.01,0.00,0.04,-0.47,-4.21,39.12,-6.29,0.76,8.89,4.15,-0.52,-0.85
0,0,1,-52,-435,3897,0.01,0.00,0.04,-0.52,-4.35,38.97,-6.31,0.76,8.89,4.16,-0.50,-0.84
0,0,0,-57,-434,3898,0.01,0.00,0.03,-0.57,-4.34,38.98,-6.32,0.77,8.89,4.17,-0.51,-0.76
-1,1,0,-51,-435,3908,-0.00,0.01,0.03,-0.51,-4.35,39.08,-6.33,0.76,8.89,4.20,-0.52,-0.77
0,0,0,-57,-428,3910,-0.00,0.01,0.03,-0.57,-4.28,39.10,-6.32,0.77,8.89,4.17,-0.51,-0.77
-1,1,0,-54,-430,3901,-0.01,0.01,0.03,-0.54,-4.30,39.01,-6.30,0.78,8.89,4.18,-0.54,-0.77
-1,0,0,-57,-423,3898,-0.01,0.01,0.02,-0.57,-4.23,38.98,-6.29,0.79,8.89,4.17,-0.52,-0.78
-1,0,0,-63,-426,3900,-0.02,0.01,0.02,-0.63,-4.26,39.00,-6.28,0.81,8.89,4.17,-0.53,-0.78
0,0,0,-57,-422,3909,-0.02,0.01,0.02,-0.57,-4.22,39.09,-6.26,0.81,8.89,4.14,-0.54,-0.78
0,0,0,-46,-421,3897,-0.01,0.01,0.02,-0.46,-4.21,38.97,-6.25,0.79,8.89,4.13,-0.53,-0.78
2,-1,1,-49,-430,3908,-0.00,0.00,0.02,-0.49,-4.30,39.08,-6.26,0.78,8.89,4.09,-0.49,-0.86
2,0,0,-53,-431,3909,0.01,0.00,0.02,-0.53,-4.31,39.09,-6.28,0.77,8.89,4.10,-0.51,-0.78
2,0,1,-52,-419,3904,0.02,0.00,0.02,-0.52,-4.19,39.04,-6.26,0.77,8.89,4.08,-0.51,-0.86
2,0,1,-55,-420,3910,0.03,0.00,0.03,-0.55,-4.20,39.10,-6.24,0.78,8.89,4.07,-0.51,-0.86
1,0,1,-54,-433,3910,0.04,0.00,0.03,-0.54,-4.33,39.10,-6.26,0.78,8.89,4.10,-0.51,-0.85
1,0,1,-54,-436,3909,0.04,0.00,0.03,-0.54,-4.36,39.09,-6.28,0.78,8.89,4.11,-0.52,-0.85
0,0,0,-66,-429,3901,0.03,0.00,0.03,-0.66,-4.29,39.01,-6.27,0.80,8.89,4.13,-0.53,-0.77
0,0,0,-60,-426,3905,0.03,0.00,0.03,-0.60,-4.26,39.05,-6.26,0.81,8.89,4.13,-0.54,-0.77
1,0,1,-52,-425,3900,0.03,0.00,0.03,-0.52,-4.25,39.00,-6.25,0.80,8.89,4.10,-0.53,-0.85
0,0,1,-48,-427,3903,0.03,0.00,0.03,-0.48,-4.27,39.03,-6.25,0.78,8.89,4.12,-0.52,-0.85
1,-1,1,-47,-428,3910,0.03,-0.01,0.04,-0.47,-4.28,39.10,-6.25,0.76,8.89,4.10,-0.48,-0.85
0,-1,1,-54,-429,3903,0.03,-0.01,0.04,-0.54,-4.29,39.03,-6.26,0.78,8.89,4.12,-0.49,-0.84
0,0,0,-53,-427,3902,0.03,-0.01,0.03,-0.53,-4.27,39.02,-6.24,0.77,8.89,4.11,-0.51,-0.76
0,0,1,-54,-430,3906,0.02,-0.01,0.04,-0.54,-4.30,39.06,-6.26,0.78,8.89,4.13,-0.51,-0.85
0,0,0,-51,-433,3907,0.02,-0.01,0.03,-0.51,-4.33,39.07,-6.28,0.77,8.89,4.14,-0.51,-0.76
1,0,0,-50,-426,3920,0.03,-0.01,0.03,-0.50,-4.26,39.20,-6.26,0.76,8.89,4.11,-0.50,-0.77
1,0,1,-62,-431,3918,0.03,-0.01,0.03,-0.62,-4.31,39.18,-6.26,0.78,8.89,4.11,-0.51,-0.85
1,0,0,-60,-435,3906,0.03,-0.01,0.03,-0.60,-4.35,39.06,-6.28,0.79,8.89,4.11,-0.52,-0.77
1,0,0,-48,-429,3905,0.04,-0.01,0.03,-0.48,-4.29,39.05,-6.27,0.77,8.89,4.11,-0.51,-0.77
1,-1,0,-56,-424,3910,0.04,-0.01,0.02,-0.56,-4.24,39.10,-6.26,0.78,8.89,4.10,-0.49,-0.77
0,0,1,-56,-424,3902,0.03,-0.01,0.03,-0.56,-4.24,39.02,-6.24,0.79,8.89,4.11,-0.52,-0.85
1,0,0,-50,-424,3898,0.04,-0.01,0.03,-0.50,-4.24,38.98,-6.23,0.78,8.89,4.08,-0.51,-0.77
0,0,0,-49,-426,3909,0.03,-0.01,0.02,-0.49,-4.26,39.09,-6.23,0.76,8.89,4.10,-0.50,-0.78
1,0,1,-50,-421,3906,0.04,-0.01,0.03,-0.50,-4.21,39.06,-6.21,0.75,8.89,4.07,-0.49,-0.86
0,0,0,-54,-419,3915,0.03,-0.01,0.02,-0.54,-4.19,39.15,-6.19,0.76,8.89,4.08,-0.50,-0.77
1,0,1,-56,-421,3905,0.04,-0.01,0.03,-0.56,-4.21,39.05,-6.18,0.77,8.89,4.05,-0.51,-0.86
0,-1,1,-48,-426,3900,0.03,-0.01,0.03,-0.48,-4.26,39.00,-6.19,0.76,8.89,4.08,-0.48,-0.85
0,-1,0,-54,-426,3905,0.03,-0.02,0.03,-0.54,-4.26,39.05,-6.21,0.77,8.89,4.09,-0.48,-0.77
1,0,1,-55,-431,3911,0.03,-0.01,0.03,-0.55,-4.31,39.11,-6.22,0.78,8.89,4.08,-0.51,-0.85
1,0,1,-55,-428,3911,0.03,-0.01,0.03,-0.55,-4.28,39.11,-6.24,0.79,8.89,4.09,-0.52,-0.85
0,0,1,-58,-424,3915,0.03,-0.01,0.04,-0.58,-4.24,39.15,-6.22,0.80,8.89,4.10,-0.53,-0.85
0,0,1,-56,-422,3915,0.03,-0.01,0.04,-0.56,-4.22,39.15,-6.20,0.81,8.89,4.09,-0.53,-0.84
0,0,0,-50,-432,3908,0.03,-0.01,0.04,-0.50,-4.32,39.08,-6.22,0.79,8.89,4.10,-0.52,-0.76
0,0,0,-48,-432,3915,0.02,-0.01,0.03,-0.48,-4.32,39.15,-6.23,0.78,8.89,4.11,-0.51,-0.77
0,0,0,-47,-426,3919,0.02,-0.01,0.03,-0.47,-4.26,39.19,-6.23,0.76,8.89,4.10,-0.50,-0.77
1,-1,0,-48,-421,3910,0.02,-0.01,0.03,-0.48,-4.21,39.10,-6.21,0.75,8.89,4.07,-0.47,-0.77
0,0,0,-54,-429,3911,0.02,-0.01,0.02,-0.54,-4.29,39.11,-6.23,0.76,8.89,4.10,-0.50,-0.78
0,0,0,-55,-423,3912,0.02,-0.01,0.02,-0.55,-4.23,39.12,-6.21,0.77,8.89,4.09,-0.51,-0.78
0,1,1,-55,-428,3910,0.02,-0.00,0.02,-0.55,-4.28,39.10,-6.23,0.78,8.89,4.10,-0.54,-0.86
-1,0,1,-52,-423,3901,0.01,-0.00,0.03,-0.52,-4.23,39.01,-6.21,0.77,8.89,4.12,-0.51,-0.85
0,0,0,-55,-425,3901,0.01,-0.00,0.03,-0.55,-4.25,39.01,-6.21,0.79,8.89,4.10,-0.52,-0.77
1,0,0,-57,-425,3903,0.01,-0.00,0.02,-0.57,-4.25,39.03,-6.21,0.81,8.89,4.08,-0.53,-0.78
0,0,1,-58,-427,3905,0.01,-0.00,0.03,-0.58,-4.27,39.05,-6.23,0.82,8.89,4.11,-0.54,-0.86
0,0,0,-58,-429,3903,0.01,-0.00,0.02,-0.58,-4.29,39.03,-6.24,0.83,8.89,4.12,-0.55,-0.77
1,0,0,-53,-424,3913,0.02,-0.00,0.02,-0.53,-4.24,39.13,-6.23,0.82,8.89,4.09,-0.54,-0.78
0,0,0,-52,-427,3908,0.01,-0.00,0.02,-0.52,-4.27,39.08,-6.23,0.80,8.89,4.11,-0.53,-0.78
0,0,0,-52,-424,3918,0.01,-0.00,0.02,-0.52,-4.24,39.18,-6.22,0.79,8.88,4.10,-0.52,-0.78
0,0,1,-49,-430,3912,0.01,-0.00,0.02,-0.49,-4.30,39.12,-6.23,0.77,8.88,4.11,-0.51,-0.86
0,0,0,-55,-431,3904,0.01,-0.00,0.02,-0.55,-4.31,39.04,-6.24,0.78,8.88,4.12,-0.52,-0.78
0,-1,0,-53,-432,3908,0.01,-0.01,0.02,-0.53,-4.32,39.08,-6.26,0.78,8.89,4.13,-0.49,-0.78
1,0,0,-59,-418,3902,0.01,-0.01,0.02,-0.59,-4.18,39.02,-6.25,0.79,8.88,4.10,-0.52,-0.78
0,0,0,-55,-419,3896,0.01,-0.01,0.01,-0.55,-4.19,38.96,-6.23,0.79,8.88,4.11,-0.52,-0.78
0,0,1,-53,-433,3897,0.01,-0.01,0.02,-0.53,-4.33,38.97,-6.25,0.79,8.88,4.12,-0.52,-0.86
1,-1,1,-62,-419,3902,0.02,-0.01,0.02,-0.62,-4.19,39.02,-6.23,0.80,8.88,4.09,-0.51,-0.86
1,1,1,-61,-426,3911,0.02,-0.00,0.03,-0.61,-4.26,39.11,-6.23,0.82,8.88,4.09,-0.56,-0.86
0,0,1,-56,-428,3908,0.02,-0.00,0.03,-0.56,-4.28,39.08,-6.25,0.82,8.88,4.12,-0.54,-0.85
0,0,1,-48,-433,3898,0.02,-0.00,0.03,-0.48,-4.33,38.98,-6.26,0.80,8.88,4.13,-0.53,-0.85
0,0,1,-52,-432,3898,0.02,-0.00,0.04,-0.52,-4.32,38.98,-6.27,0.79,8.88,4.14,-0.52,-0.85
1,0,0,-56,-423,3917,0.02,-0.00,0.03,-0.56,-4.23,39.17,-6.26,0.80,8.88,4.10,-0.52,-0.77
1,0,1,-49,-420,3909,0.02,-0.00,0.04,-0.49,-4.20,39.09,-6.24,0.79,8.88,4.09,-0.52,-0.85
1,0,1,-49,-424,3903,0.03,-0.00,0.04,-0.49,-4.24,39.03,-6.23,0.77,8.88,4.09,-0.51,-0.84
1,0,1,-52,-423,3892,0.03,-0.00,0.04,-0.52,-4.23,38.92,-6.21,0.76,8.88,4.07,-0.50,-0.84
0,0,0,-54,-413,3912,0.03,-0.00,0.04,-0.54,-4.13,39.12,-6.20,0.77,8.88,4.08,-0.51,-0.76
1,0,0,-46,-424,3904,0.03,-0.00,0.03,-0.46,-4.24,39.04,-6.20,0.75,8.88,4.06,-0.49,-0.76
0,-1,1,-45,-428,3908,0.03,-0.01,0.04,-0.45,-4.28,39.08,-6.21,0.73,8.88,4.09,-0.46,-0.85
1,-1,1,-49,-421,3914,0.03,-0.01,0.04,-0.49,-4.21,39.14,-6.19,0.73,8.88,4.06,-0.46,-0.84
1,0,0,-62,-429,3897,0.03,-0.01,0.03,-0.62,-4.29,38.97,-6.20,0.74,8.88,4.06,-0.49,-0.76
1,0,1,-61,-432,3909,0.04,-0.01,0.04,-0.61,-4.32,39.09,-6.21,0.76,8.88,4.07,-0.50,-0.85
1,0,1,-65,-424,3905,0.04,-0.01,0.04,-0.65,-4.24,39.05,-6.21,0.78,8.88,4.06,-0.51,-0.84
0,0,1,-65,-424,3903,0.04,-0.01,0.04,-0.65,-4.24,39.03,-6.21,0.79,8.88,4.09,-0.52,-0.84
1,0,1,-68,-422,3912,0.04,-0.01,0.04,-0.68,-4.22,39.12,-6.20,0.81,8.88,4.06,-0.53,-0.84
1,0,1,-63,-427,3910,0.04,-0.01,0.05,-0.63,-4.27,39.10,-6.21,0.83,8.88,4.06,-0.55,-0.84
0,0,2,-53,-415,3905,0.04,-0.01,0.05,-0.53,-4.15,39.05,-6.19,0.82,8.88,4.07,-0.54,-0.91
1,0,2,-54,-418,3904,0.04,-0.01,0.06,-0.54,-4.18,39.04,-6.17,0.82,8.88,4.04,-0.54,-0.91
1,-1,2,-52,-422,3898,0.04,-0.01,0.07,-0.52,-4.22,38.98,-6.17,0.80,8.88,4.04,-0.50,-0.90
1,0,1,-53,-427,3910,0.04,-0.01,0.07,-0.53,-4.27,39.10,-6.19,0.79,8.88,4.05,-0.52,-0.81
-1,0,1,-54,-431,3896,0.03,-0.01,0.07,-0.54,-4.31,38.96,-6.21,0.79,8.88,4.11,-0.52,-0.82
0,0,1,-51,-434,3903,0.03,-0.01,0.06,-0.51,-4.34,39.03,-6.23,0.78,8.88,4.10,-0.52,-0.82
0,-1,1,-48,-432,3906,0.03,-0.01,0.06,-0.48,-4.32,39.06,-6.24,0.77,8.88,4.11,-0.49,-0.82
0,0,1,-52,-425,3907,0.02,-0.01,0.06,-0.52,-4.25,39.07,-6.22,0.76,8.88,4.10,-0.50,-0.82
1,0,1,-56,-425,3909,0.03,-0.01,0.06,-0.56,-4.25,39.09,-6.22,0.78,8.88,4.07,-0.51,-0.82
1,0,1,-49,-429,3899,0.03,-0.01,0.06,-0.49,-4.29,38.99,-6.23,0.77,8.88,4.08,-0.50,-0.82
1,0,1,-48,-427,3901,0.03,-0.01,0.06,-0.48,-4.27,39.01,-6.23,0.75,8.88,4.08,-0.49,-0.82
1,0,0,-48,-431,3906,0.04,-0.01,0.06,-0.48,-4.31,39.06,-6.25,0.74,8.88,4.09,-0.49,-0.74
0,0,0,-52,-423,3908,0.03,-0.01,0.05,-0.52,-4.23,39.08,-6.23,0.74,8.88,4.10,-0.49,-0.74
0,0,0,-56,-426,3914,0.03,-0.01,0.05,-0.56,-4.26,39.14,-6.23,0.76,8.88,4.10,-0.50,-0.75
0,0,0,-61,-429,3913,0.03,-0.01,0.04,-0.61,-4.29,39.13,-6.23,0.78,8.88,4.10,-0.51,-0.76
0,0,0,-59,-428,3912,0.02,-0.01,0.04,-0.59,-4.28,39.12,-6.23,0.80,8.88,4.11,-0.52,-0.76
0,0,1,-53,-418,3901,0.02,-0.00,0.04,-0.53,-4.18,39.01,-6.21,0.79,8.88,4.10,-0.52,-0.84
1,0,1,-49,-421,3900,0.03,-0.00,0.04,-0.49,-4.21,39.00,-6.20,0.78,8.88,4.07,-0.51,-0.84
0,0,1,-54,-426,3908,0.02,-0.00,0.04,-0.54,-4.26,39.08,-6.22,0.79,8.88,4.10,-0.52,-0.84
0,-1,1,-49,-424,3909,0.02,-0.01,0.05,-0.49,-4.24,39.09,-6.21,0.77,8.88,4.10,-0.49,-0.84
0,0,1,-48,-428,3897,0.02,-0.01,0.05,-0.48,-4.28,38.97,-6.22,0.76,8.88,4.10,-0.50,-0.83
-1,0,0,-43,-421,3911,0.01,-0.01,0.04,-0.43,-4.21,39.11,-6.21,0.74,8.88,4.12,-0.49,-0.75
