gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
-16,27,-1,34,-160,3721,-0.45,-1.58,6.57,0.34,-1.60,37.21,-5.10,-0.71,55.90,3.81,0.35,6.82
-6,-27,-69,-145,-429,4041,-0.44,-1.59,5.50,-1.45,-4.29,40.41,-5.11,-0.70,55.88,3.61,1.44,11.20
11,-65,-65,-90,-564,3926,-0.33,-1.83,4.55,-0.90,-5.64,39.26,-5.12,-0.70,55.86,3.25,2.28,9.65
12,-75,-57,-61,-483,3846,-0.22,-2.10,3.75,-0.61,-4.83,38.46,-5.14,-0.69,55.84,3.21,2.55,7.95
-1,-21,-42,63,-176,3835,-0.21,-2.02,3.12,0.63,-1.76,38.35,-5.12,-0.70,55.83,3.46,1.44,5.87
0,-15,-45,57,-238,3881,-0.19,-1.91,2.53,0.57,-2.38,38.81,-5.10,-0.71,55.82,3.42,1.29,5.37
0,7,-54,51,-314,3823,-0.17,-1.68,1.95,0.51,-3.14,38.23,-5.09,-0.72,55.81,3.40,0.79,5.39
-5,15,-41,38,-280,3873,-0.18,-1.42,1.50,0.38,-2.80,38.73,-5.07,-0.72,55.80,3.50,0.56,3.72
-4,0,-17,-14,-280,3902,-0.19,-1.28,1.25,-0.14,-2.80,39.02,-5.06,-0.71,55.80,3.47,0.82,1.36
-2,-6,-11,8,-299,3879,-0.18,-1.18,1.06,0.08,-2.99,38.79,-5.04,-0.70,55.79,3.42,0.91,0.61
-3,-3,0,-30,-347,3907,-0.18,-1.08,0.95,-0.30,-3.47,39.07,-5.04,-0.69,55.79,3.44,0.81,-0.46
-2,0,5,-38,-366,3913,-0.18,-0.98,0.89,-0.38,-3.66,39.13,-5.05,-0.67,55.79,3.42,0.71,-0.96
-2,2,8,-28,-366,3927,-0.17,-0.87,0.85,-0.28,-3.66,39.27,-5.06,-0.66,55.78,3.42,0.63,-1.27
0,13,13,11,-359,3888,-0.15,-0.70,0.84,0.11,-3.59,38.88,-5.06,-0.65,55.78,3.38,0.35,-1.70
-1,18,14,16,-362,3881,-0.14,-0.52,0.84,0.16,-3.62,38.81,-5.07,-0.63,55.77,3.41,0.19,-1.78
-4,27,13,7,-317,4014,-0.15,-0.30,0.84,0.07,-3.17,40.14,-5.06,-0.62,55.77,3.46,-0.06,-1.70
-14,13,11,18,-295,3942,-0.22,-0.19,0.82,0.18,-2.95,39.42,-5.05,-0.61,55.77,3.68,0.19,-1.55
-2,10,15,-30,-391,3862,-0.21,-0.11,0.83,-0.30,-3.91,38.62,-5.06,-0.60,55.76,3.44,0.22,-1.88
0,10,17,-16,-373,3879,-0.19,-0.04,0.85,-0.16,-3.73,38.79,-5.07,-0.58,55.76,3.40,0.19,-2.02
2,4,21,-5,-338,3898,-0.16,-0.01,0.89,-0.05,-3.38,38.98,-5.06,-0.56,55.76,3.35,0.29,-2.31
2,5,20,-11,-349,3905,-0.13,0.02,0.93,-0.11,-3.49,39.05,-5.07,-0.55,55.75,3.34,0.25,-2.18
4,6,24,12,-313,3885,-0.10,0.05,0.98,0.12,-3.13,38.85,-5.05,-0.53,55.75,3.28,0.22,-2.45
1,5,24,18,-341,3891,-0.08,0.08,1.03,0.18,-3.41,38.91,-5.05,-0.51,55.75,3.33,0.22,-2.39
2,7,12,6,-374,3891,-0.06,0.11,1.00,0.06,-3.74,38.91,-5.06,-0.50,55.74,3.32,0.16,-1.41
2,7,10,1,-382,3883,-0.04,0.15,0.96,0.01,-3.82,38.83,-5.08,-0.49,55.74,3.32,0.14,-1.29
1,6,11,-1,-381,3880,-0.03,0.17,0.93,-0.01,-3.81,38.80,-5.09,-0.47,55.73,3.35,0.15,-1.41
1,6,10,-1,-374,3883,-0.02,0.19,0.90,-0.01,-3.74,38.83,-5.10,-0.46,55.73,3.35,0.13,-1.37
0,4,8,-8,-369,3887,-0.02,0.19,0.86,-0.08,-3.69,38.87,-5.11,-0.44,55.73,3.38,0.16,-1.25
1,3,8,-8,-371,3896,-0.01,0.19,0.82,-0.08,-3.71,38.96,-5.12,-0.43,55.72,3.36,0.17,-1.30
1,3,12,-3,-348,3892,-0.00,0.19,0.81,-0.03,-3.48,38.92,-5.12,-0.41,55.72,3.36,0.15,-1.65
2,3,13,-5,-351,3894,0.01,0.19,0.81,-0.05,-3.51,38.94,-5.12,-0.39,55.72,3.34,0.14,-1.74
-7,2,13,2,-292,3956,-0.04,0.18,0.81,0.02,-2.92,39.56,-5.10,-0.38,55.71,3.52,0.16,-1.74
3,8,9,16,-368,3868,-0.01,0.21,0.78,0.16,-3.68,38.68,-5.12,-0.37,55.71,3.32,0.02,-1.43
2,7,12,-4,-363,3878,0.00,0.24,0.78,-0.04,-3.63,38.78,-5.13,-0.35,55.71,3.34,0.03,-1.69
4,6,13,-1,-346,3887,0.02,0.25,0.78,-0.01,-3.46,38.87,-5.13,-0.33,55.70,3.30,0.03,-1.78
2,8,11,5,-380,3890,0.03,0.27,0.77,0.05,-3.80,38.90,-5.14,-0.32,55.70,3.34,-0.02,-1.62
1,6,12,1,-370,3878,0.04,0.28,0.76,0.01,-3.70,38.78,-5.16,-0.31,55.70,3.37,0.01,-1.71
2,4,14,7,-342,3888,0.05,0.28,0.77,0.07,-3.42,38.88,-5.15,-0.29,55.70,3.34,0.04,-1.87
2,4,17,4,-341,3894,0.05,0.27,0.80,0.04,-3.41,38.94,-5.14,-0.27,55.69,3.33,0.03,-2.09
0,-3,22,0,-328,3868,0.05,0.23,0.85,0.00,-3.28,38.68,-5.12,-0.26,55.69,3.37,0.17,-2.44
0,-3,20,-7,-332,3890,0.04,0.19,0.89,-0.07,-3.32,38.90,-5.11,-0.24,55.69,3.36,0.17,-2.23
0,-5,7,1,-347,3907,0.04,0.14,0.84,0.01,-3.47,39.07,-5.11,-0.23,55.68,3.36,0.21,-1.18
1,-7,3,-109,-360,3905,0.04,0.08,0.78,-1.09,-3.60,39.05,-5.11,-0.21,55.68,3.34,0.26,-0.93
0,-26,13,30,-350,3907,0.04,-0.09,0.78,0.30,-3.50,39.07,-5.11,-0.23,55.68,3.36,0.70,-1.77
-1,-16,14,22,-329,3847,0.03,-0.17,0.79,0.22,-3.29,38.47,-5.09,-0.23,55.67,3.38,0.53,-1.85
-2,5,13,-1,-368,3976,0.01,-0.13,0.79,-0.01,-3.68,39.76,-5.11,-0.22,55.67,3.41,0.08,-1.76
-3,2,11,7,-372,3901,-0.01,-0.10,0.78,0.07,-3.72,39.01,-5.12,-0.21,55.67,3.44,0.13,-1.61
-2,-2,8,-7,-379,3892,-0.02,-0.10,0.75,-0.07,-3.79,38.92,-5.14,-0.20,55.66,3.44,0.20,-1.39
-1,-3,7,-10,-382,3873,-0.02,-0.11,0.72,-0.10,-3.82,38.73,-5.15,-0.19,55.66,3.43,0.22,-1.35
-3,-8,5,-24,-404,3888,-0.04,-0.15,0.67,-0.24,-4.04,38.88,-5.17,-0.18,55.66,3.48,0.32,-1.23
-3,-8,3,-18,-386,3892,-0.05,-0.18,0.63,-0.18,-3.86,38.92,-5.18,-0.17,55.66,3.50,0.33,-1.12
-2,-8,-1,-15,-355,3893,-0.06,-0.21,0.56,-0.15,-3.55,38.93,-5.18,-0.15,55.65,3.48,0.32,-0.87
-1,-5,0,-25,-359,3902,-0.06,-0.22,0.50,-0.25,-3.59,39.02,-5.19,-0.14,55.65,3.46,0.25,-1.03
1,-8,6,-2,-336,3896,-0.05,-0.25,0.49,-0.02,-3.36,38.96,-5.17,-0.13,55.65,3.41,0.31,-1.55
3,-8,6,-3,-344,3890,-0.03,-0.27,0.48,-0.03,-3.44,38.90,-5.16,-0.11,55.65,3.35,0.31,-1.57
1,-6,14,-5,-348,3885,-0.02,-0.28,0.51,-0.05,-3.48,38.85,-5.16,-0.10,55.65,3.39,0.26,-2.20
0,-4,15,-18,-326,3871,-0.01,-0.28,0.55,-0.18,-3.26,38.71,-5.14,-0.08,55.64,3.40,0.21,-2.23
0,3,17,6,-339,3938,-0.01,-0.23,0.60,0.06,-3.39,39.38,-5.13,-0.08,55.64,3.39,0.06,-2.34
-13,1,26,3,-258,3989,-0.09,-0.20,0.70,0.03,-2.58,39.89,-5.11,-0.08,55.64,3.66,0.09,-2.98
10,-32,57,31,-278,3932,-0.02,-0.38,0.98,0.31,-2.78,39.32,-5.09,-0.09,55.63,3.16,0.81,-5.25
12,-31,67,-17,-337,4014,0.05,-0.53,1.29,-0.17,-3.37,40.14,-5.08,-0.08,55.63,3.09,0.83,-5.70
13,-7,33,14,-237,3826,0.13,-0.52,1.36,0.14,-2.37,38.26,-5.06,-0.08,55.62,3.04,0.34,-2.72
13,12,38,110,-384,3863,0.19,-0.39,1.46,1.10,-3.84,38.63,-5.07,-0.10,55.62,3.03,-0.07,-3.02
22,-27,42,-60,-324,3976,0.31,-0.52,1.57,-0.60,-3.24,39.76,-5.06,-0.08,55.61,2.81,0.75,-3.22
22,-38,37,-5,-359,3934,0.41,-0.70,1.64,-0.05,-3.59,39.34,-5.07,-0.07,55.60,2.79,1.01,-2.71
27,-60,48,-70,-268,3860,0.54,-1.00,1.77,-0.70,-2.68,38.60,-5.05,-0.06,55.60,2.64,1.53,-3.48
15,-53,40,-100,-239,3787,0.57,-1.22,1.83,-1.00,-2.39,37.87,-5.04,-0.06,55.59,2.86,1.45,-2.71
-19,49,-124,-80,142,3831,0.40,-0.80,0.89,-0.80,1.42,38.31,-5.02,-0.05,55.58,3.59,-0.74,9.98
-25,56,-190,-73,78,3806,0.21,-0.38,-0.36,-0.73,0.78,38.06,-5.00,-0.05,55.59,3.75,-1.00,13.98
-1,41,-387,33,-447,4057,0.18,-0.09,-2.68,0.33,-4.47,40.57,-5.02,-0.06,55.60,3.28,-0.77,20.00
-20,8,-382,34,-474,4013,0.04,-0.03,-4.74,0.34,-4.74,40.13,-5.04,-0.07,55.62,3.72,-0.11,20.00
-6,-8,-250,-1,-736,3758,0.00,-0.08,-5.79,-0.01,-7.36,37.58,-5.05,-0.07,55.64,3.46,0.23,12.10
-6,26,-185,54,-759,3883,-0.04,0.09,-6.34,0.54,-7.59,38.83,-5.07,-0.07,55.66,3.48,-0.51,5.89
11,-26,-47,36,-574,4007,0.03,-0.08,-5.99,0.36,-5.74,40.07,-5.09,-0.08,55.69,3.13,0.60,-5.36
14,-44,-32,21,-514,3993,0.12,-0.34,-5.59,0.21,-5.14,39.93,-5.11,-0.08,55.71,3.05,1.04,-6.11
10,-18,-25,3,-311,3801,0.17,-0.41,-5.18,0.03,-3.11,38.01,-5.09,-0.08,55.73,3.11,0.53,-6.18
2,-4,-39,31,-304,3772,0.16,-0.40,-4.90,0.31,-3.04,37.72,-5.07,-0.10,55.75,3.26,0.26,-4.64
-1,30,-95,49,-394,3929,0.14,-0.17,-4.99,0.49,-3.94,39.29,-5.09,-0.11,55.77,3.34,-0.49,-0.01
2,19,-92,49,-437,3972,0.14,-0.04,-5.05,0.49,-4.37,39.72,-5.10,-0.12,55.79,3.29,-0.29,-0.34
12,-40,-52,6,-367,3950,0.20,-0.28,-4.87,0.06,-3.67,39.50,-5.12,-0.12,55.81,3.08,0.97,-3.49
14,-46,-52,32,-348,3910,0.26,-0.53,-4.70,0.32,-3.48,39.10,-5.12,-0.15,55.83,3.02,1.18,-3.28
6,-38,-74,-62,-331,3843,0.27,-0.71,-4.68,-0.62,-3.31,38.43,-5.11,-0.13,55.85,3.18,1.05,-1.39
1,-16,-95,-57,-301,3812,0.25,-0.74,-4.79,-0.57,-3.01,38.12,-5.10,-0.12,55.86,3.28,0.61,0.25
0,18,-85,50,-445,3936,0.23,-0.55,-4.83,0.50,-4.45,39.36,-5.12,-0.13,55.88,3.32,-0.13,-0.65
0,6,-69,8,-443,3974,0.20,-0.46,-4.77,0.08,-4.43,39.74,-5.13,-0.14,55.90,3.33,0.09,-1.93
14,-37,-37,12,-343,3890,0.27,-0.64,-4.52,0.12,-3.43,38.90,-5.12,-0.15,55.92,3.02,1.02,-4.32
12,-35,-33,16,-339,3890,0.32,-0.79,-4.27,0.16,-3.39,38.90,-5.10,-0.16,55.94,3.04,1.03,-4.34
11,-25,-11,-10,-363,3896,0.35,-0.86,-3.91,-0.10,-3.63,38.96,-5.11,-0.15,55.95,3.05,0.84,-5.74
11,-27,-9,-14,-353,3902,0.38,-0.94,-3.57,-0.14,-3.53,39.02,-5.11,-0.14,55.97,3.05,0.90,-5.48
-1,-27,-8,-49,-314,3811,0.34,-1.01,-3.26,-0.49,-3.14,38.11,-5.10,-0.13,55.98,3.30,0.91,-5.17
3,-8,-23,-26,-268,3819,0.32,-0.96,-3.08,-0.26,-2.68,38.19,-5.08,-0.12,55.99,3.21,0.51,-3.67
-18,37,-93,25,-246,3924,0.18,-0.64,-3.34,0.25,-2.46,39.24,-5.07,-0.13,56.00,3.66,-0.49,1.93
-1,3,-108,-19,-324,4093,0.16,-0.56,-3.66,-0.19,-3.24,40.93,-5.05,-0.12,56.02,3.31,0.17,2.79
12,-55,-112,16,-376,3815,0.21,-0.84,-3.98,0.16,-3.76,38.15,-5.07,-0.13,56.03,3.04,1.43,2.72
10,-38,-107,22,-395,3736,0.25,-0.98,-4.23,0.22,-3.95,37.36,-5.08,-0.14,56.05,3.08,1.13,1.97
-22,38,-101,-10,-277,3861,0.09,-0.65,-4.43,-0.10,-2.77,38.61,-5.07,-0.14,56.07,3.76,-0.50,1.21
-28,43,-111,-7,-243,3876,-0.09,-0.33,-4.66,-0.07,-2.43,38.76,-5.05,-0.14,56.09,3.92,-0.69,1.76
