gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
0,1,2,-64,-385,3906,0.01,0.05,0.08,-0.64,-3.85,39.06,-5.64,0.88,3.40,4.37,-0.73,-0.64
2,3,3,-49,-383,3912,0.02,0.07,0.09,-0.49,-3.83,39.12,-5.64,0.86,3.40,4.08,-1.00,-0.71
-3,0,31,-116,-228,3896,0.00,0.06,0.27,-1.16,-2.28,38.96,-5.62,0.87,3.40,4.79,-0.56,-2.91
0,-1,56,-154,-276,3905,0.00,0.05,0.59,-1.54,-2.76,39.05,-5.60,0.88,3.40,4.32,-0.44,-4.73
2,1,106,6,-440,3943,0.01,0.05,1.17,0.06,-4.40,39.43,-5.62,0.87,3.39,4.05,-0.73,-8.41
-2,5,104,177,-29,4030,0.00,0.08,1.69,1.77,-0.29,40.30,-5.60,0.86,3.38,4.62,-1.29,-7.75
-6,7,125,210,43,3949,-0.04,0.11,2.28,2.10,0.43,39.49,-5.59,0.85,3.37,5.15,-1.52,-8.96
3,11,222,104,92,3986,-0.01,0.17,3.41,1.04,0.92,39.86,-5.57,0.85,3.36,3.80,-2.03,-16.11
4,9,247,2,36,3851,0.01,0.20,4.58,0.02,0.36,38.51,-5.55,0.85,3.34,3.68,-1.66,-17.12
13,16,236,-302,-396,3825,0.09,0.28,5.56,-3.02,-3.96,38.25,-5.55,0.87,3.32,2.45,-2.60,-15.25
-1,10,215,-261,-475,3845,0.07,0.31,6.31,-2.61,-4.75,38.45,-5.56,0.89,3.30,4.57,-1.65,-12.75
0,1,119,-347,-836,3973,0.07,0.29,6.41,-3.47,-8.36,39.73,-5.57,0.90,3.27,4.41,-0.33,-4.52
2,2,85,-300,-943,3962,0.07,0.27,6.29,-3.00,-9.43,39.62,-5.59,0.91,3.25,4.13,-0.52,-1.76
0,-5,-2,16,-832,3922,0.07,0.21,5.64,0.16,-8.32,39.22,-5.61,0.91,3.22,4.43,0.44,5.01
-1,-1,2,50,-626,3881,0.05,0.19,5.09,0.50,-6.26,38.81,-5.62,0.91,3.20,4.58,-0.21,4.15
0,2,3,-37,-415,3905,0.05,0.18,4.60,-0.37,-4.15,39.05,-5.64,0.90,3.19,4.42,-0.67,3.60
0,1,2,-45,-371,3894,0.04,0.17,4.15,-0.45,-3.71,38.94,-5.62,0.89,3.17,4.41,-0.53,3.26
